Offense_Description,Report_Date,Full_Address
Robbery,27-Nov-16,1705 FRONTIER VALLEY DR                                                                             Austin TX 78741
Theft: BOV,12/27/2014 12:00:00 AM,2725 S CONGRESS AVE                                                                                 Austin TX 78704
Theft: BOV,10/26/2014 12:00:00 AM,11400 RESEARCH BLVD SVRD SB                                                                         Austin TX 78759
Theft,13-Aug-15,8401 STILLWOOD LN                                                                                   Austin TX 78757
Burglary,9-Apr-15,127 E RIVERSIDE DR                                                                                  Austin TX 78704
Burglary,28-Dec-16,2114 WYCHWOOD DR                                                                                    Austin TX 78746
Theft: BOV,10/09/2014 12:00:00 AM,1301 CROSSING PL                                                                                    Austin TX 78741
Theft: BOV,10/19/2014 12:00:00 AM,10805 SEA HERO CT                                                                                   Austin TX 78748
Theft,19-Jun-16,1405 W NORTH LOOP BLVD                                                                              Austin TX 78756
Theft,4-May-15,2504 S 5TH ST                                                                                       Austin TX 78704
Theft,7-Oct-15,7711 BLOCK BRODIE LN                                                                                Austin TX 78745
Theft: Auto Theft,21-Apr-15,8885 RESEARCH BLVD NB                                                                               Austin TX 78758
Theft: All Other Larceny,06/03/2014 12:00:00 AM,2815 E SH 71 WB                                                                                     Austin TX 78617
Theft,8-Mar-15,2316 MORELOS ST                                                                                     Austin TX 78702
Theft,22-Nov-16,923 BODARK LN                                                                                       Austin TX 78745
Theft,18-Nov-16,6600 S MOPAC EXPY SVRD SB                                                                           Austin TX 78749
Theft,10-Jun-15,5529 ALOMAR CV                                                                                      Austin TX 78617
Theft: BOV,08/22/2014 12:00:00 AM,300 BLOCK NAVASOTA ST                                                                               Austin TX 78702
Theft,12-Oct-15,2100 BARTON SPRINGS RD                                                                              Austin TX 78746
Theft,5-Aug-16,10001 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
Theft: All Other Larceny,07/21/2014 12:00:00 AM,85 TRINITY ST                                                                                       Austin TX 78701
Theft: Shoplifting,08/22/2014 12:00:00 AM,12901 N IH 35 NB                                                                                    Austin TX 78753
Theft,29-Oct-15,5020 MANOR RD                                                                                       Austin TX 78723
Theft: All Other Larceny,01/22/2014 12:00:00 AM,12151 HUNTERS CHASE DR                                                                              Austin TX 78729
Theft,7-Aug-15,1300 NEWNING AVE                                                                                    Austin TX 78704
Burglary: Breaking & Entering,05/08/2014 12:00:00 AM,604 MEADOW LEA DR                                                                                   Austin TX 78745
Theft: BOV,08/28/2014 12:00:00 AM,11617 RESEARCH BLVD NB                                                                              Austin TX 78759
Aggravated Assault,10/24/2014 12:00:00 AM,LAKE AUSTIN BLVD / ATLANTA ST                                                                       Austin TX 78703
Theft: All Other Larceny,01/14/2014 12:00:00 AM,1107 ALEGRIA RD                                                                                     Austin TX 78757
Theft: All Other Larceny,08/25/2014 12:00:00 AM,1135 MANSELL AVE                                                                                    Austin TX 78721
Theft,24-Sep-16,2105 KENNETH AVE                                                                                    Austin TX 78741
Theft,6-Mar-15,2410 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,4-Nov-16,9500 S IH 35 SB                                                                                     Austin TX 78748
Theft,3-Dec-16,235 CANYON RIDGE DR                                                                                 Austin TX 78753
Theft,1-Aug-16,10415 BROKEN SHOE TRL                                                                               Austin TX 78750
Burglary,17-Feb-15,9900 QUAIL BLVD                                                                                     Austin TX 78758
Theft,19-Mar-15,1901 E 51ST ST                                                                                      Austin TX 78723
Theft,23-Aug-15,5300 S MOPAC EXPY SVRD SB                                                                           Austin TX 78749
Theft,24-Mar-16,11906 BROOKWOOD CV                                                                                  Austin TX 78750
Theft: Shoplifting,03/03/2014 12:00:00 AM,9406 DESSAU RD                                                                                      Austin TX 78753
Theft: BOV,07/04/2014 12:00:00 AM,11411 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
Theft,12-Mar-15,1703 CORONA DR                                                                                      Austin TX 78723
Theft: BOV,04/05/2014 12:00:00 AM,1300 CROSSING PL                                                                                    Austin TX 78741
Aggravated Assault,11/16/2014 12:00:00 AM,100 BLOCK W SLAUGHTER LN                                                                            Austin TX 78744
Theft: Auto Theft,7-Mar-16,11118 N LAMAR BLVD                                                                                  Austin TX 78758
Theft: Auto Theft,10/06/2014 12:00:00 AM,2512 HIDALGO ST                                                                                     Austin TX 78702
Theft,21-Jan-15,9500 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: Auto Theft,25-Mar-15,3627 MANCHACA RD                                                                                    Austin TX 78704
Theft,14-Jun-16,1601 MONTOPOLIS DR                                                                                  Austin TX 78741
Theft,2-May-15,4320 S IH 35 SB                                                                                     Austin TX 78745
Burglary: Breaking & Entering,12/21/2014 12:00:00 AM,7507 SHERWOOD RD                                                                                    Austin TX 78745
Theft,20-Jul-15,2320 GRACY FARMS LN                                                                                 Austin TX 78758
Agg Assault,19-Jun-16,2000 EATON LN                                                                                       Austin TX 78723
Burglary: Breaking & Entering,06/03/2014 12:00:00 AM,12224 ROXIE DR                                                                                      Austin TX 78729
Theft: All Other Larceny,02/04/2014 12:00:00 AM,2803 E 5TH ST                                                                                       Austin TX 78702
Theft,8-Jan-15,500 W 5TH ST                                                                                        Austin TX 78701
Theft,5-Dec-15,3600 PRESIDENTIAL BLVD                                                                              Austin TX 78719
Theft: Shoplifting,03/27/2014 12:00:00 AM,5421 N IH 35 SVRD NB                                                                                Austin TX 78723
Theft,12-Dec-16,3301 W WILLIAM CANNON DR                                                                            Austin TX 78745
Theft: All Other Larceny,04/10/2014 12:00:00 AM,1000 E 41ST ST                                                                                      Austin TX 78751
Theft,3-Feb-15,401 LITTLE TEXAS LN                                                                                 Austin TX 78745
Theft: Shoplifting,12/13/2014 12:00:00 AM,7112 ED BLUESTEIN BLVD SB                                                                           Austin TX 78723
Theft: BOV,11/22/2014 12:00:00 AM,7000 DECKER LN                                                                                      Austin TX 78724
Theft: Shoplifting,09/09/2014 12:00:00 AM,7701 CAMERON RD                                                                                     Austin TX 78752
Theft,14-Jun-15,1600 WICKERSHAM LN                                                                                  Austin TX 78741
Burglary,24-Jul-15,1904 W 41ST ST                                                                                      Austin TX 78731
Theft: Shoplifting,10/16/2014 12:00:00 AM,5510 S IH 35 SVRD SB                                                                                Austin TX 78745
Agg Assault,23-May-16,1930 W RUNDBERG LN                                                                                  Austin TX 78758
Theft,6-Aug-16,1801 E 51ST ST                                                                                      Austin TX 78723
Theft: All Other Larceny,11/14/2014 12:00:00 AM,500 E 7TH ST                                                                                        Austin TX 78701
Theft,7-Mar-16,5526 N IH 35 SVRD SB                                                                                Austin TX 78751
Burglary,31-Jan-16,1109 S PLEASANT VALLEY RD                                                                           Austin TX 78741
Theft,26-Aug-15,500 W WILLIAM CANNON DR                                                                             Austin TX 78745
Theft,2-Oct-15,629 W BEN WHITE BLVD SVRD EB                                                                        Austin TX 78745
Burglary: Breaking & Entering,11/05/2014 12:00:00 AM,1501 CORONA DR                                                                                      Austin TX 78723
Theft,15-Oct-15,9333 RESEARCH BLVD NB                                                                               Austin TX 78759
Theft: All Other Larceny,10/22/2014 12:00:00 AM,6808 S IH 35 SVRD SB                                                                                Austin TX 78745
Burglary,18-Jan-16,2511 BUELL AVE                                                                                      Austin TX 78757
Robbery,10-Oct-15,9038 N IH 35 SVRD SB                                                                                Austin TX 78753
Theft: BOV,07/16/2014 12:00:00 AM,7781 BURNET RD                                                                                      Austin TX 78757
Theft: Auto Theft,11/05/2014 12:00:00 AM,4812 N IH 35 SVRD SB                                                                                Austin TX 78751
Theft,13-Oct-16,709 DELMAR AVE                                                                                      Austin TX 78752
Theft: BOV,03/10/2014 12:00:00 AM,8302 WASHITA DR                                                                                     Austin TX 78749
Theft,19-Oct-16,2222 E OLTORF ST                                                                                    Austin TX 78741
Theft: BOV,08/22/2014 12:00:00 AM,300 BLOCK NAVASOTA ST                                                                               Austin TX 78702
Theft,18-Jul-16,2804 ROGGE LN                                                                                       Austin TX 78723
Theft,23-Jan-15,11401 HUNTERS LN                                                                                    Austin TX 78753
Burglary: Breaking & Entering,03/19/2014 12:00:00 AM,9220 N IH 35 SVRD SB                                                                                Austin TX 78753
Theft,23-Sep-16,13435 N US 183 HWY SVRD NB                                                                          Austin TX 78729
Robbery,6-Oct-15,6201 SNEED CV                                                                                       Austin TX 78744
Theft: BOV,04/10/2014 12:00:00 AM,712 E HUNTLAND DR                                                                                   Austin TX 78752
Theft: All Other Larceny,09/08/2014 12:00:00 AM,12424 RESEARCH BLVD SVRD SB                                                                         Austin TX 78759
Theft: BOV,09/02/2014 12:00:00 AM,4417 E ST ELMO RD                                                                                   Austin TX 78744
Theft,14-Jun-16,7208 GENEVA DR                                                                                      Austin TX 78723
Robbery,24-Jun-16,1881 GROVE BLVD                                                                                     Austin TX 78741
Theft,25-Nov-16,2317 S PLEASANT VALLEY RD                                                                           Austin TX 78741
Theft: BOV,06/04/2014 12:00:00 AM,2121 BURTON DR                                                                                      Austin TX 78741
Theft,30-Dec-16,9505 STONELAKE BLVD                                                                                 Austin TX 78759
Theft: All Other Larceny,08/08/2014 12:00:00 AM,525 N LAMAR BLVD                                                                                    Austin TX 78703
Theft: All Other Larceny,09/09/2014 12:00:00 AM,5501 DOWNS DR                                                                                       Austin TX 78721
Burglary: Breaking & Entering,08/03/2014 12:00:00 AM,4504 N IH 35 SVRD SB                                                                                Austin TX 78751
Theft: BOV,04/09/2014 12:00:00 AM,6743 PONCHA PASS                                                                                    Austin TX 78749
Theft: BOV,05/18/2014 12:00:00 AM,9723 SUGAR HILL DR                                                                                  Austin TX 78748
Theft: Shoplifting,02/23/2014 12:00:00 AM,9414 N LAMAR BLVD                                                                                   Austin TX 78758
Theft,29-Oct-16,8141 MESA DR                                                                                        Austin TX 78759
Theft,29-Dec-16,N CAPITAL OF TEXAS HWY NB / COURTYARD DR                                                            Austin TX 78731
Theft: BOV,02/11/2014 12:00:00 AM,9629 RESEARCH BLVD SVRD NB                                                                          Austin TX 78759
Theft: Shoplifting,11/23/2014 12:00:00 AM,10107 RESEARCH BLVD NB                                                                              Austin TX 78759
Theft,28-Jul-16,11803 DOVE HAVEN DR                                                                                 Austin TX 78753
Theft,31-Jan-15,9400 N IH 35 SVRD SB                                                                                Austin TX 78753
Theft: BOV,12/02/2014 12:00:00 AM,5810 AVERY ISLAND AVE                                                                               Austin TX 78727
Burglary,30-Jul-15,8103 BRIARWOOD LN                                                                                   Austin TX 78757
Burglary,29-Sep-16,13100 STATON DR                                                                                     Austin TX 78727
Theft: All Other Larceny,12/13/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,22-Dec-15,5017 W US 290 HWY SVRD EB                                                                           Austin TX 78749
Theft: BOV,10/24/2014 12:00:00 AM,6307 BLUFF SPRINGS RD                                                                               Austin TX 78744
Theft: Auto Theft,6-Jun-15,1330 SHORE DISTRICT DR                                                                              Austin TX 78741
Theft,10-Mar-16,1910 WILLOW CREEK DR                                                                                Austin TX 78741
Theft,14-Nov-15,4301 W WILLIAM CANNON DR                                                                            Austin TX 78749
Theft,10-May-15,421 E 6TH ST                                                                                        Austin TX 78701
Theft,12-Sep-15,525 N LAMAR BLVD                                                                                    Austin TX 78703
Theft,26-Oct-16,7701 RIALTO BLVD                                                                                    Austin TX 78735
Theft: Auto Theft,15-Jan-16,11920 DOMAIN DR                                                                                     Austin TX 78758
Theft: All Other Larceny,03/14/2014 12:00:00 AM,1113 CHICON ST                                                                                      Austin TX 78702
Theft,31-Aug-15,1417 E RUNDBERG LN                                                                                  Austin TX 78753
Theft,9-Jan-16,7625 E BEN WHITE BLVD EB                                                                            Austin TX 78744
Theft,28-Dec-16,904 AVONDALE RD                                                                                     Austin TX 78704
Theft,8-Jul-16,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft,5-Aug-16,4701 MISTY SLOPE LN                                                                                 Austin TX 78744
Robbery,3-Jul-15,6700 MIDDLE FISKVILLE RD                                                                            Austin TX 78752
Theft,1-Oct-15,2209 GARDEN ST                                                                                      Austin TX 78702
Theft,14-Nov-16,7224 NORTHEAST DR                                                                                   Austin TX 78723
Aggravated Assault,11/16/2014 12:00:00 AM,100 BLOCK W SLAUGHTER LN                                                                            Austin TX 78744
Burglary,1-Feb-15,5101 PEPPERTREE PKWY                                                                                Austin TX 78744
Theft,19-Apr-16,13858 N US 183 HWY SVRD SB                                                                          Austin TX 78750
Theft: All Other Larceny,06/06/2014 12:00:00 AM,916 E KOENIG LN SVRD WB                                                                             Austin TX 78752
Theft,8-Aug-16,833 FAIRFIELD DR                                                                                    Austin TX 78758
Aggravated Assault,11/20/2014 12:00:00 AM,3100 ESPERANZA XING                                                                                 Austin TX 78758
Theft,2-Apr-15,3504 GABLE DR                                                                                       Austin TX 78759
Theft,8-Jan-15,500 W 5TH ST                                                                                        Austin TX 78701
Theft,15-Mar-16,2122 PARK BEND DR                                                                                   Austin TX 78758
Theft,6-Sep-15,702 LAMAR PL                                                                                        Austin TX 78752
Theft: Shoplifting,03/27/2014 12:00:00 AM,5621 N IH 35 NB                                                                                     Austin TX 78723
Theft: All Other Larceny,03/12/2014 12:00:00 AM,300 E 6TH ST                                                                                        Austin TX 78701
Theft: Auto Theft,25-Jul-15,1009 RUTLAND DR                                                                                     Austin TX 78758
Burglary: Breaking & Entering,09/04/2014 12:00:00 AM,1830 W RUNDBERG LN                                                                                  Austin TX 78758
Theft,18-Jan-15,8401 TREEHOUSE LN                                                                                   Austin TX 78749
Theft,25-Sep-15,2101 W ANDERSON LN                                                                                  Austin TX 78757
Theft,21-Aug-15,1428 WEBBERVILLE RD                                                                                 Austin TX 78721
Theft,3-Mar-16,11100 N IH 35 SVRD SB                                                                               Austin TX 78753
Theft: BOV,09/03/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: Shoplifting,05/08/2014 12:00:00 AM,2400 S CONGRESS AVE                                                                                 Austin TX 78704
Theft,13-Mar-16,1007 W RUNDBERG LN                                                                                  Austin TX 78758
Theft,28-Jul-15,5401 N IH 35 SVRD NB                                                                                Austin TX 78723
Theft: All Other Larceny,01/30/2014 12:00:00 AM,9220 N IH 35 SVRD SB                                                                                Austin TX 78753
Robbery,9-Nov-16,9710 N LAMAR BLVD                                                                                   Austin TX 78758
Theft,8-Mar-15,6600 MIDDLE FISKVILLE RD                                                                            Austin TX 78752
Theft,14-Dec-15,2013 WAYWARD SUN DR                                                                                 Austin TX 78754
Theft,28-Sep-15,4529 MATTIE ST                                                                                      Austin TX 78723
Theft: BOV,02/02/2014 12:00:00 AM,10000 RESEARCH BLVD NB                                                                              Austin TX 78759
Theft,27-Jul-16,6700 MIDDLE FISKVILLE RD                                                                            Austin TX 78752
Theft: All Other Larceny,10/28/2014 12:00:00 AM,12900 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft,8-Oct-16,12900 N IH 35 SVRD SB                                                                               Austin TX 78753
Theft: BOV,12/27/2014 12:00:00 AM,904 CEDAR GLN                                                                                       Austin TX 78745
Theft,19-Dec-15,5801 N IH 35 SVRD NB                                                                                Austin TX 78723
Theft: All Other Larceny,06/02/2014 12:00:00 AM,1801 E 51ST ST                                                                                      Austin TX 78723
Theft,19-Feb-15,9012 RESEARCH BLVD SB                                                                               Austin TX 78757
Burglary,17-Nov-15,1905 E STASSNEY LN                                                                                  Austin TX 78744
Theft,26-Jun-16,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft,14-Dec-16,7600 PEBBLE CV                                                                                      Austin TX 78752
Theft,3-Dec-16,9411 N LAMAR BLVD                                                                                   Austin TX 78753
Burglary: Breaking & Entering,09/30/2014 12:00:00 AM,306 W RUNDBERG LN                                                                                   Austin TX 78753
Theft: BOV,02/07/2014 12:00:00 AM,600 COMAL ST                                                                                        Austin TX 78702
Theft,28-May-15,1040 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft,14-Dec-16,5605 SPRINGDALE RD                                                                                  Austin TX 78723
Theft: BOV,05/22/2014 12:00:00 AM,3200 GLENVIEW AVE                                                                                   Austin TX 78703
Theft,8-May-16,7907 WHITSUN DR                                                                                     Austin TX 78749
Agg Assault,24-Jun-16,N LAMAR BLVD / W RUNDBERG LN                                                                        Austin TX 78758
Theft: Auto Theft,3-Jan-15,4501 W BRAKER LN                                                                                    Austin TX 78759
Agg Assault,2-Aug-15,4705 PELHAM DR                                                                                      Austin TX 78727
Theft: All Other Larceny,06/26/2014 12:00:00 AM,6001 W PARMER LN                                                                                    Austin TX 78727
Theft,13-Oct-15,4825 DAVIS LN                                                                                       Austin TX 78749
Theft,20-Sep-16,4000 S IH 35 SVRD SB                                                                                Austin TX 78704
Theft,24-Sep-15,2525 W ANDERSON LN                                                                                  Austin TX 78757
Theft,3-May-15,907 E ST JOHNS AVE                                                                                  Austin TX 78752
Burglary,17-Jan-16,420 W SLAUGHTER LN                                                                                  Austin TX 78748
Theft,29-Jul-15,1917 MANOR RD                                                                                       Austin TX 78722
Burglary,18-May-15,9205 RESEARCH BLVD SVRD NB                                                                          Austin TX 78758
Theft,12-Aug-15,400 W ST ELMO RD                                                                                    Austin TX 78745
Agg Assault,16-Mar-16,11511 METRIC BLVD                                                                                   Austin TX 78758
Burglary,4-Jun-15,6607 BRODIE LN                                                                                      Austin TX 78745
Theft,1-Feb-16,5453 BURNET RD                                                                                      Austin TX 78756
Theft,27-Apr-16,7517 CAMERON RD                                                                                     Austin TX 78752
Agg Assault,26-Oct-16,1400 W KOENIG LN                                                                                    Austin TX 78757
Burglary,5-Sep-16,2101 MAPLE AVE                                                                                      Austin TX 78722
Theft,24-Jun-16,8011 ASMARA DR                                                                                      Austin TX 78750
Burglary: Breaking & Entering,06/18/2014 12:00:00 AM,1600 WICKERSHAM LN                                                                                  Austin TX 78741
Theft,25-Aug-15,7100 NORTHEAST DR                                                                                   Austin TX 78723
Theft,7-Oct-16,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft,20-Jun-16,3533 FITZROY AVE                                                                                    Austin TX 78748
Theft,7-Nov-15,12435 DESSAU RD                                                                                     Austin TX 78754
Theft,18-Aug-15,1601 E ST ELMO RD                                                                                   Austin TX 78744
Theft,1-May-16,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft,25-Dec-16,306 CEDARBROOK CT                                                                                   Austin TX 78753
Burglary,12-Jan-15,13001 CENTER LAKE DR                                                                                Austin TX 78753
Theft,16-Apr-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft,5-Sep-15,7844 BURNET RD                                                                                      Austin TX 78757
Theft: Auto Theft,13-May-16,4307 WILLOW SPRINGS RD                                                                              Austin TX 78745
Theft: All Other Larceny,05/14/2014 12:00:00 AM,810 E SLAUGHTER LN                                                                                  Austin TX 78744
Theft,15-Apr-16,110 E 2ND ST                                                                                        Austin TX 78701
Theft,25-Jun-15,7211 NORTHEAST DR                                                                                   Austin TX 78723
Theft: Shoplifting,04/30/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft,19-Jan-16,10107 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
Burglary: Breaking & Entering,03/08/2014 12:00:00 AM,1912 E WILLIAM CANNON DR                                                                            Austin TX 78744
Aggravated Assault,04/25/2014 12:00:00 AM,2302 E WILLIAM CANNON DR                                                                            Austin TX 78744
Theft,15-Jun-15,11105 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft: BOV,04/09/2014 12:00:00 AM,6305 LATIGO PASS                                                                                    Austin TX 78749
Agg Assault,23-Oct-16,1420 E ANDERSON LN EB                                                                               Austin TX 78752
Theft,24-Feb-15,1212 W BEN WHITE BLVD WB                                                                            Austin TX 78704
Theft: Shoplifting,05/15/2014 12:00:00 AM,5700 BURNET RD                                                                                      Austin TX 78756
Theft: BOV,10/01/2014 12:00:00 AM,1503 S IH 35 SVRD NB                                                                                Austin TX 78741
Aggravated Assault,04/26/2014 12:00:00 AM,W 6TH ST / WEST AVE                                                                                 Austin TX 78701
Theft: BOV,04/11/2014 12:00:00 AM,11590 RESEARCH BLVD SB                                                                              Austin TX 78759
Theft,6-Dec-16,2110 W SLAUGHTER LN                                                                                 Austin TX 78748
Theft,6-May-15,1000 E 41ST ST                                                                                      Austin TX 78751
Theft,16-Mar-15,2000 BLOCK CHICON ST                                                                                Austin TX 78722
Robbery,11-Mar-16,1500 KRAMER LN                                                                                      Austin TX 78758
Theft,23-Jun-16,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft: BOV,12/15/2014 12:00:00 AM,1500 CROSSING PL                                                                                    Austin TX 78741
Theft,25-Oct-15,13201 N FM 620 RD NB                                                                                Austin TX 78729
Burglary,4-Feb-16,421 THOMPSON LN                                                                                     Austin TX 78742
Burglary,30-Sep-16,2606 WHELESS LN                                                                                     Austin TX 78723
Burglary: Breaking & Entering,03/18/2014 12:00:00 AM,8405 LONE MESA                                                                                      Austin TX 78759
Theft,17-Nov-16,12800 CENTER LAKE DR                                                                                Austin TX 78753
Theft,23-Dec-15,5808 BURNET RD                                                                                      Austin TX 78756
Burglary,17-Mar-15,12349 METRIC BLVD                                                                                   Austin TX 78758
Burglary: Breaking & Entering,10/17/2014 12:00:00 AM,9801 STONELAKE BLVD                                                                                 Austin TX 78759
Burglary,2-Feb-16,2323 SAN ANTONIO ST                                                                                 Austin TX 78705
Theft: Auto Theft,12/11/2014 12:00:00 AM,3816 S LAMAR BLVD NB                                                                                Austin TX 78704
Theft,9-Mar-16,1500 S LAMAR BLVD                                                                                   Austin TX 78704
Theft,14-Jan-15,4424 GAINES RANCH LOOP                                                                              Austin TX 78735
Theft,13-Nov-16,12612 N LAMAR BLVD                                                                                  Austin TX 78753
Burglary: Breaking & Entering,12/05/2014 12:00:00 AM,1137 GUNTER ST                                                                                      Austin TX 78721
Theft: Auto Theft,20-Jul-15,201 W BEN WHITE BLVD SVRD EB                                                                        Austin TX 78745
Theft,30-Mar-16,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: BOV,06/23/2014 12:00:00 AM,11160 JOLLYVILLE RD                                                                                 Austin TX 78759
Theft,29-Mar-15,7501 E BEN WHITE BLVD EB                                                                            Austin TX 78744
Burglary,11-Nov-16,9125 NORTH PLZ                                                                                      Austin TX 78753
Theft,29-Aug-16,201 W BEN WHITE BLVD SVRD EB                                                                        Austin TX 78745
Theft,4-Jan-15,809 E 4TH ST                                                                                        Austin TX 78702
Theft,26-May-15,3601 WILLOW SPRINGS RD                                                                              Austin TX 78704
Theft,12-Dec-16,1907 PARAMOUNT AVE                                                                                  Austin TX 78704
Theft,6-Sep-15,8656 SPICEWOOD SPRINGS RD                                                                           Austin TX 78759
Agg Assault,15-Jul-15,2500 BLOCK NEW YORK DR                                                                              Austin TX 78702
Theft: All Other Larceny,05/22/2014 12:00:00 AM,5474 WALNUT GROVE DR                                                                                Austin TX 78744
Theft,28-Apr-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Burglary,22-Dec-15,7711 BRODIE LN                                                                                      Austin TX 78745
Theft,13-Feb-15,110 W 2ND ST                                                                                        Austin TX 78701
Theft: All Other Larceny,10/27/2014 12:00:00 AM,2320 GRACY FARMS LN                                                                                 Austin TX 78758
Theft: Shoplifting,02/19/2014 12:00:00 AM,12900 N IH 35 SVRD SB                                                                               Austin TX 78753
Theft,8-May-16,5809 KEVIN KELLY PL                                                                                 Austin TX 78727
Theft,14-Aug-16,305 E CROSLIN ST                                                                                    Austin TX 78752
Theft,10-Aug-16,1000 E 41ST ST                                                                                      Austin TX 78751
Theft,14-Feb-16,9900 S IH 35 SVRD SB                                                                                Austin TX 78748
Agg Assault,29-Apr-15,1722 WOODWARD ST                                                                                    Austin TX 78741
Burglary,8-Dec-15,2209 E RIVERSIDE DR                                                                                 Austin TX 78741
Burglary,27-Jul-15,8005 GEORGIAN DR                                                                                    Austin TX 78753
Theft,7-Feb-16,1403 YORKSHIRE DR                                                                                   Austin TX 78723
Theft: Shoplifting,08/07/2014 12:00:00 AM,801 E WILLIAM CANNON DR                                                                             Austin TX 78745
Theft,6-Aug-15,6515 S IH 35 SVRD NB                                                                                Austin TX 78744
Theft,9-Dec-15,7006 NARROW OAK TRL                                                                                 Austin TX 78759
Theft,14-May-15,11600 CENTURY OAKS TER                                                                              Austin TX 78758
Theft,20-Jan-15,9500 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: BOV,04/29/2014 12:00:00 AM,6109 DAFFODIL DR                                                                                    Austin TX 78744
Theft,27-May-15,1412 W 39TH HALF ST                                                                                 Austin TX 78756
Burglary,8-Jul-16,800 HERNDON LN                                                                                      Austin TX 78704
Theft,30-Aug-15,8600 N LAMAR BLVD                                                                                   Austin TX 78758
Theft: All Other Larceny,05/06/2014 12:00:00 AM,E 6TH ST / CONGRESS AVE                                                                             Austin TX 78701
Theft: BOV,08/01/2014 12:00:00 AM,8211 SAM RAYBURN DR                                                                                 Austin TX 78753
Theft: BOV,06/28/2014 12:00:00 AM,7920 SAN FELIPE BLVD                                                                                Austin TX 78729
Robbery,01/11/2014 12:00:00 AM,5811 BERKMAN DR                                                                                     Austin TX 78723
Theft: All Other Larceny,02/23/2014 12:00:00 AM,1332 LAMAR SQUARE DR                                                                                Austin TX 78704
Theft: Auto Theft,7-Feb-15,10505 S IH 35 SVRD NB                                                                               Austin TX 78747
Theft,24-Oct-16,8509 NUCKOLS CROSSING RD                                                                            Austin TX 78747
Theft: BOV,07/28/2014 12:00:00 AM,1704 E 5TH ST                                                                                       Austin TX 78702
Theft: Shoplifting,04/01/2014 12:00:00 AM,3921 W PARMER LN                                                                                    Austin TX 78727
Theft,4-Feb-16,901 W BEN WHITE BLVD SVRD EB                                                                        Austin TX 78745
Theft: All Other Larceny,12/13/2014 12:00:00 AM,6711 N IH 35 SVRD NB                                                                                Austin TX 78752
Theft: BOV,06/16/2014 12:00:00 AM,5700 TRACY LYNN LN                                                                                  Austin TX 78721
Burglary: Breaking & Entering,08/24/2014 12:00:00 AM,7224 NORTHEAST DR                                                                                   Austin TX 78723
Theft,21-Nov-16,13301 N US 183 HWY SVRD NB                                                                          Austin TX 78729
Theft,3-Jul-16,7601 E BEN WHITE BLVD EB                                                                            Austin TX 78744
Theft: Auto Theft,23-Feb-15,600 ATTAYAC ST                                                                                      Austin TX 78702
Robbery,11/21/2014 12:00:00 AM,5700 BLOCK PASEO NUEVO CIR                                                                          Austin TX 78617
Theft: Auto Parts,06/16/2014 12:00:00 AM,12403 KNOLL RIDGE DR                                                                                Austin TX 78758
Theft: BOV,09/25/2014 12:00:00 AM,1302 BRANDT DR                                                                                      Austin TX 78617
Theft,26-Jun-15,5413 CONNALLY LN                                                                                    Austin TX 78723
Agg Assault,25-Jul-16,2200 S PLEASANT VALLEY RD                                                                           Austin TX 78741
Theft,28-Sep-16,5218 OVERBROOK DR                                                                                   Austin TX 78723
Theft: Auto Theft,9-Sep-16,5300 JIMMY CLAY DR                                                                                  Austin TX 78744
Theft: Auto Theft,21-Feb-15,1212 COLLINWOOD WEST DR                                                                             Austin TX 78753
Theft: All Other Larceny,01/01/2014 12:00:00 AM,8812 WILEY WAY                                                                                      Austin TX 78747
Theft,14-May-16,2418 STRATFORD DR                                                                                   Austin TX 78746
Theft: Pocket Picking,04/09/2014 12:00:00 AM,317 E 6TH ST                                                                                        Austin TX 78701
Theft,19-Jun-15,741 PEDERNALES ST                                                                                   Austin TX 78702
Theft: Shoplifting,07/08/2014 12:00:00 AM,2525 W ANDERSON LN                                                                                  Austin TX 78757
Theft: BOV,02/26/2014 12:00:00 AM,5104 PURPLE SAGE DR                                                                                 Austin TX 78724
Aggravated Assault,06/19/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
