Offense_Description,Report_Date,Full_Address
Theft,3-Oct-16,2610 WHITIS AVE                                                                                     Austin TX 78705
Theft,8-Apr-15,1801 E 51ST ST                                                                                      Austin TX 78723
Theft,29-Sep-16,13309 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft,27-Jul-15,7101 N IH 35 SVRD NB                                                                                Austin TX 78752
Theft,25-Feb-16,2223 WATERLOO CITY LN                                                                               Austin TX 78741
Theft: All Other Larceny,01/09/2014 12:00:00 AM,1716 WOODWARD ST                                                                                    Austin TX 78741
Theft: BOV,09/15/2014 12:00:00 AM,1001 RUTLAND DR                                                                                     Austin TX 78758
Theft,15-May-15,5621 N IH 35 SVRD NB                                                                                Austin TX 78723
Theft: All Other Larceny,02/15/2014 12:00:00 AM,500 E 7TH ST                                                                                        Austin TX 78701
Theft: Shoplifting,04/04/2014 12:00:00 AM,1747 E OLTORF ST                                                                                    Austin TX 78741
Theft,22-Oct-15,1901 E WILLIAM CANNON DR                                                                            Austin TX 78744
Theft,15-Jun-16,8054 EXCHANGE DR                                                                                    Austin TX 78754
Theft,27-Oct-16,9901 N LAMAR BLVD                                                                                   Austin TX 78753
Theft,29-Sep-16,507 S 1ST ST                                                                                        Austin TX 78704
Theft: BOV,07/18/2014 12:00:00 AM,12151 N IH 35 NB                                                                                    Austin TX 78753
Burglary,15-Dec-16,6035 N IH 35 SVRD NB                                                                                Austin TX 78723
Theft: Shoplifting,03/25/2014 12:00:00 AM,6515 S IH 35 SVRD NB                                                                                Austin TX 78744
Agg Assault,22-May-15,106 E 35TH ST                                                                                       Austin TX 78705
Theft,13-Jan-15,55 N IH 35 SVRD NB                                                                                  Austin TX 78702
Theft: Auto Theft,8-Jan-16,604 FAIRFIELD LN                                                                                    Austin TX 78751
Burglary,25-Aug-16,2400 MISSION HILL DR                                                                                Austin TX 78741
Theft: Auto Theft,01/22/2014 12:00:00 AM,3700 BLOCK THOMPSON ST                                                                              Austin TX 78702
Theft,4-Jul-15,4909 SUNSET TRL                                                                                     Austin TX 78745
Theft,28-Jan-16,7112 ED BLUESTEIN BLVD SB                                                                           Austin TX 78723
Theft: BOV,12/15/2014 12:00:00 AM,1500 CROSSING PL                                                                                    Austin TX 78741
Theft,28-Jul-15,12100 METRIC BLVD                                                                                   Austin TX 78758
Theft: Shoplifting,10/10/2014 12:00:00 AM,500 CANYON RIDGE DR                                                                                 Austin TX 78753
Burglary,25-May-15,10926 JOLLYVILLE RD                                                                                 Austin TX 78759
Theft: Auto Theft,12/05/2014 12:00:00 AM,6509 BERKMAN DR                                                                                     Austin TX 78723
Theft,15-Jul-16,601 E 43RD ST                                                                                       Austin TX 78751
Theft,13-Apr-15,1100 E OLTORF ST                                                                                    Austin TX 78704
Theft: All Other Larceny,10/18/2014 12:00:00 AM,15424 FM 1825 RD                                                                                    Austin TX 78660
Theft,28-Aug-16,7812 EDGE PARK CIR                                                                                  Austin TX 78744
Theft,14-May-16,2424 S CONGRESS AVE                                                                                 Austin TX 78704
Theft: BOV,10/21/2014 12:00:00 AM,919 E 32ND ST                                                                                       Austin TX 78705
Burglary,16-Mar-15,1026 CLAYTON LN                                                                                     Austin TX 78723
Theft,19-May-16,1605 WALNUT AVE                                                                                     Austin TX 78702
Theft,12-Apr-15,525 N LAMAR BLVD                                                                                    Austin TX 78703
Burglary: Breaking & Entering,11/01/2014 12:00:00 AM,906 PHILCO DR                                                                                       Austin TX 78745
Theft,12-Jul-16,2110 BROOKHILL DR                                                                                   Austin TX 78745
Theft,9-Jul-15,E 6TH ST / CONGRESS AVE                                                                             Austin TX 78701
Burglary,27-Aug-15,7211 LAKEWOOD DR                                                                                    Austin TX 78750
Theft,6-Apr-15,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,8-Sep-15,500 E ANDERSON LN WB                                                                                Austin TX 78753
