,Council District,GO Highest Offense Desc,Austin_Offense_Description,GO Report Date,Clearance Status,Clearance Date,GO District,GO Census Tract,Full_Address
117,4.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,14-Jan-16,I,18.04,7522 N IH 35 SB                                                                                     Austin  TX  78752
118,9.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,4-Jan-16,G,11.0,W 4TH ST / NUECES ST                                                                                Austin  TX  78701
119,3.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,4-Jan-16,D,13.08,2400 S CONGRESS AVE                                                                                 Austin  TX  78704
120,6.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,11-Jan-16,A,204.05,9218 BALCONES CLUB DR                                                                               Austin  TX  78750
121,3.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,4-Jan-16,D,13.08,2400 S CONGRESS AVE                                                                                 Austin  TX  78704
122,7.0,THEFT                         ,Theft,2-Jan-16,N,13-Jan-16,A,18.49,9200 BURNET RD                                                                                      Austin  TX  78758
123,5.0,THEFT                         ,Theft,2-Jan-16,N,5-Jan-16,F,17.28,6920 MANCHACA RD                                                                                    Austin  TX  78745
124,1.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,4-Jan-16,G,11.0,306 E 10TH ST                                                                                       Austin  TX  78701
125,2.0,THEFT                         ,Theft,2-Jan-16,N,12-Jan-16,AP,9800.0,3600 PRESIDENTIAL BLVD                                                                              Austin  TX  78719
126,2.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,6-Jan-16,F,24.19,1912 E WILLIAM CANNON DR                                                                            Austin  TX  78744
127,4.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,8-Jan-16,E,18.04,8026 GESSNER DR                                                                                     Austin  TX  78753
128,9.0,THEFT                         ,Theft,2-Jan-16,N,7-Jan-16,D,13.05,1700 S CONGRESS AVE                                                                                 Austin  TX  78704
129,9.0,THEFT                         ,Theft,2-Jan-16,N,28-Jan-16,G,11.0,E 6TH ST / TRINITY ST                                                                               Austin  TX  78701
130,10.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,8-Jan-16,A,17.55,7102 RED MAPLE CV                                                                                   Austin  TX  78759
131,5.0,THEFT                         ,Theft,2-Jan-16,N,5-Jan-16,D,13.04,2216 THORNTON RD                                                                                    Austin  TX  78704
132,7.0,THEFT                         ,Theft,2-Jan-16,N,13-Jan-16,A,18.5,12221 N MOPAC EXPY NB                                                                               Austin  TX  78758
133,3.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,19-Apr-16,H,23.07,2250 E BEN WHITE BLVD SVRD WB                                                                       Austin  TX  78741
134,9.0,THEFT OF LICENSE PLATE        ,Theft,2-Jan-16,N,6-Jan-16,G,12.0,W 6TH ST / N LAMAR BLVD                                                                             Austin  TX  78703
135,7.0,THEFT                         ,Theft,2-Jan-16,N,29-Feb-16,A,18.5,12345 LAMPLIGHT VILLAGE AVE                                                                         Austin  TX  78758
136,7.0,THEFT                         ,Theft,2-Jan-16,N,13-Jan-16,B,2.06,5700 BURNET RD                                                                                      Austin  TX  78756
137,4.0,THEFT OF LICENSE PLATE        ,Theft,2-Jan-16,N,3-Jan-16,E,18.06,8312 N IH 35 SVRD SB                                                                                Austin  TX  78753
138,9.0,THEFT                         ,Theft,2-Jan-16,N,21-Jan-16,B,7.0,1812 WEST AVE                                                                                       Austin  TX  78701
