AHI #,Project ID,Project Name,Owner,Developer,Address,Zip Code,TCAD ID,Council District,Kirwan Opportunity Index,Total Units,Total Affordable Units,Distance to High Freq. Transit,Unit Type,Housing Type,Status,Affordability Start Year,Affordability Expiration Year ,Affordability Period,Date Fee in Lieu Received,Fee in Lieu Status,Required Amount of Fee in Lieu,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Market Rate Units,Funding,DDB,ERC,RNY,MDA,NBG,PUDDA,PUDDB,SMART,TOD,UNO,VMU,Location
347,4157,David Weekley - SF - Section 9 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2016,2017,1,,None,$0.00,0,0,0,0,0,1,0,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,4158,David Weekley - SF - Section 9 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2016,2017,1,,None,$0.00,0,0,0,0,0,1,0,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,4159,David Weekley - SF - Section 9 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2016,2017,1,,None,$0.00,0,0,0,0,0,1,0,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,4160,David Weekley - SF - Section 9 (RMMA MDA),"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,78723,,9,Moderate,1,1,>1/2 Mile,Single Family,Ownership,Project Complete,2016,2017,1,,None,$0.00,0,0,0,0,0,1,0,Development Incentives,No,No,No,Yes,No,No,No,Yes,No,No,No,"Undisclosed
"
347,4341,Muskin - Section 9B,"Catellus Austin, LLC",Catellus Austin LLC,Undisclosed,,,9,Moderate,4,0,>1/2 Mile,Single Family,Ownership,Project Certified / Loan Executed,,,0,,None,$0.00,0,0,0,0,0,0,4,Development Incentives,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
301,4412,Colony Park (PUD),Austin Housing Finance Corporation,Austin Housing Finance Corporation,Undisclosed,78724,,1,Very Low,824,165,>1/2 Mile,Single Family,Ownership,Project Certified / Loan Executed,,,99,,None,$0.00,0,0,0,0,0,165,659,Development Incentives,No,No,No,No,No,Yes,No,Yes,No,No,No,"Undisclosed
"
340,4413,Meadow Lake,Austin Habitat for Humanity,Austin Habitat for Humanity,Undisclosed,78744,,2,Very Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2017,2018,1,,None,$0.00,0,0,0,1,0,0,0,Development Incentives,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
340,4416,Meadow Lake,Austin Habitat for Humanity,Austin Habitat for Humanity,Undisclosed,78744,,2,Very Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2017,2018,1,,None,$0.00,0,0,0,1,0,0,0,Development Incentives,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
340,4419,Meadow Lake,Austin Habitat for Humanity,Austin Habitat for Humanity,Undisclosed,78744,,2,Very Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2017,2018,1,,None,$0.00,0,0,0,1,0,0,0,Development Incentives,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
340,4422,Meadow Lake,Austin Habitat for Humanity,Austin Habitat for Humanity,Undisclosed,78744,,2,Very Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2017,2018,1,,None,$0.00,0,0,0,1,0,0,0,Development Incentives,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
340,4423,Meadow Lake,Austin Habitat for Humanity,Austin Habitat for Humanity,Undisclosed,78744,,2,Very Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2017,2018,1,,None,$0.00,0,0,0,1,0,0,0,Development Incentives,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
340,4424,Meadow Lake,Austin Habitat for Humanity,Austin Habitat for Humanity,Undisclosed,78744,,2,Very Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2017,2018,1,,None,$0.00,0,0,0,1,0,0,0,Development Incentives,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
340,4425,Meadow Lake,Austin Habitat for Humanity,Austin Habitat for Humanity,Undisclosed,78744,,2,Very Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2017,2018,1,,None,$0.00,0,0,0,1,0,0,0,Development Incentives,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
340,4426,Meadow Lake,Austin Habitat for Humanity,Austin Habitat for Humanity,Undisclosed,78744,,2,Very Low,1,1,1/2 Mile,Single Family,Ownership,Project Complete,2017,2018,1,,None,$0.00,0,0,0,1,0,0,0,Development Incentives,No,No,No,No,No,No,No,Yes,No,No,No,"Undisclosed
"
372,3959,Amli Eastside,"Riata Partners, LLC","Robertson Hill Land, Ltd.",1000 San Marcos Street,78702,806165,1,Low,290,29,1/2 Mile,Multifamily,Rental,Project Complete,2008,2028,20,,None,$0.00,0,0,0,0,0,29,261,Development Incentives,No,No,No,Yes,No,No,No,No,No,No,No,"1000 San Marcos Street
(30.268443, -97.731154)"
222,3603,Windsor  South Lamar,"THC South Lamar Development, LC",Hanover R.S. Limited Partnership,809 S Lamar Boulevard,78704,,5,High,116,12,1/4 Mile,Multifamily,Rental,Project Complete,2017,2057,40,,None,,0,0,0,12,0,0,104,Development Incentives,No,No,No,No,No,No,No,No,No,No,Yes,"809 S Lamar Boulevard
(30.257436, -97.760308)"
