,Offense_Description,Report_Date,Full_Address
88,Theft: All Other Larceny,05/17/2014 12:00:00 AM,6319 S IH 35 SVRD NB                                                                                Austin TX 78744
89,Burglary: Breaking & Entering,01/03/2014 12:00:00 AM,4802 COTTONWOOD ST                                                                                  Austin TX 78744
90,Theft: All Other Larceny,02/05/2014 12:00:00 AM,9070 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
91,Theft: Shoplifting,05/21/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
92,Theft: All Other Larceny,02/02/2014 12:00:00 AM,8402 CROSS PARK DR                                                                                  Austin TX 78754
93,Theft: Shoplifting,08/16/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
94,Aggravated Assault,09/29/2014 12:00:00 AM,5910 W US 290 HWY WB                                                                                Austin TX 78735
95,Theft: BOV,01/09/2014 12:00:00 AM,5921 ADAIR DR                                                                                       Austin TX 78754
96,Theft: BOV,04/09/2014 12:00:00 AM,6743 PONCHA PASS                                                                                    Austin TX 78749
97,Theft: BOV,10/13/2014 12:00:00 AM,10001 WOODHAVEN DR                                                                                  Austin TX 78753
98,Theft: BOV,03/26/2014 12:00:00 AM,5807 PECANWOOD LN                                                                                   Austin TX 78749
99,Theft: BOV,09/15/2014 12:00:00 AM,1001 RUTLAND DR                                                                                     Austin TX 78758
100,Theft: All Other Larceny,02/28/2014 12:00:00 AM,2300 MISSION HILL DR                                                                                Austin TX 78741
101,Theft: BOV,05/14/2014 12:00:00 AM,200 W HUNTLAND DR                                                                                   Austin TX 78752
102,Theft: BOV,03/18/2014 12:00:00 AM,833 FAIRFIELD DR                                                                                    Austin TX 78758
103,Theft: All Other Larceny,05/05/2014 12:00:00 AM,2401 E CESAR CHAVEZ ST                                                                              Austin TX 78702
104,Theft: All Other Larceny,08/26/2014 12:00:00 AM,13813 BURNET RD                                                                                     Austin TX 78727
105,Theft: BOV,10/21/2014 12:00:00 AM,7109 GENEVA DR                                                                                      Austin TX 78723
106,Robbery,04/06/2014 12:00:00 AM,6400 BLOCK TARA DR                                                                                  Austin TX 78747
107,Theft: All Other Larceny,11/05/2014 12:00:00 AM,9500 S IH 35 NB                                                                                     Austin TX 78744
108,Theft: All Other Larceny,04/10/2014 12:00:00 AM,1000 E 41ST ST                                                                                      Austin TX 78751
109,Aggravated Assault,08/12/2014 12:00:00 AM,12812 TOMANET TRL                                                                                   Austin TX 78727
110,Theft: Auto Parts,06/19/2014 12:00:00 AM,8615 ROCKWOOD LN                                                                                    Austin TX 78757
111,Aggravated Assault,03/26/2014 12:00:00 AM,2209 HANCOCK DR                                                                                     Austin TX 78756
112,Theft: All Other Larceny,06/14/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
113,Aggravated Assault,03/22/2014 12:00:00 AM,9920 WADING POOL PATH                                                                               Austin TX 78748
114,Theft: Auto Theft,10/25/2014 12:00:00 AM,2900 BLOCK LAFAYETTE AVE                                                                            Austin TX 78722
115,Theft: All Other Larceny,12/17/2014 12:00:00 AM,5604 SOUTHWEST PKWY                                                                                 Austin TX 78735
116,Theft: All Other Larceny,03/10/2014 12:00:00 AM,6101 MOUNTAINCLIMB DR                                                                               Austin TX 78731
117,Theft: All Other Larceny,08/26/2014 12:00:00 AM,119 LIGHTSEY RD                                                                                     Austin TX 78704
118,Theft: BOV,09/24/2014 12:00:00 AM,1100 KINGSBURY ST                                                                                   Austin TX 78703
119,Burglary: Breaking & Entering,06/03/2014 12:00:00 AM,5515 WOODROW AVE                                                                                    Austin TX 78756
120,Theft: BOV,09/07/2014 12:00:00 AM,7312 MUFFIN DR                                                                                      Austin TX 78724
121,Theft: Shoplifting,08/07/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
122,Theft: Auto Theft,08/14/2014 12:00:00 AM,1800 E STASSNEY LN                                                                                  Austin TX 78744
123,Theft: BOV,05/02/2014 12:00:00 AM,2425 CROMWELL CIR                                                                                   Austin TX 78741
124,Burglary: Breaking & Entering,07/01/2014 12:00:00 AM,9412 HUNTERS TRCE                                                                                   Austin TX 78758
125,Theft: All Other Larceny,09/10/2014 12:00:00 AM,914 N LAMAR BLVD                                                                                    Austin TX 78703
126,Burglary: Breaking & Entering,09/18/2014 12:00:00 AM,2148 BARTON HILLS DR                                                                                Austin TX 78704
127,Theft: All Other Larceny,08/03/2014 12:00:00 AM,2505 E RIVERSIDE DR                                                                                 Austin TX 78741
128,Theft: Auto Theft,07/16/2014 12:00:00 AM,5210 S IH 35 SB                                                                                     Austin TX 78745
129,Theft: Shoplifting,11/12/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
130,Theft: Shoplifting,06/23/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
131,Theft: BOV,01/18/2014 12:00:00 AM,5002 MERRITT DR                                                                                     Austin TX 78744
132,Theft: Shoplifting,11/06/2014 12:00:00 AM,2222 E OLTORF ST                                                                                    Austin TX 78741
133,Theft: All Other Larceny,06/19/2014 12:00:00 AM,10704 MOTHERAL DR                                                                                   Austin TX 78753
134,Theft: Shoplifting,11/09/2014 12:00:00 AM,5621 N IH 35 SVRD NB                                                                                Austin TX 78723
135,Theft: BOV,05/05/2014 12:00:00 AM,500 CANYON RIDGE DR                                                                                 Austin TX 78753
136,Theft: Shoplifting,07/07/2014 12:00:00 AM,2400 S CONGRESS AVE                                                                                 Austin TX 78704
137,Theft: BOV,09/04/2014 12:00:00 AM,2418 STRATFORD DR                                                                                   Austin TX 78746
138,Burglary: Breaking & Entering,02/08/2014 12:00:00 AM,6407 SPRINGDALE RD                                                                                  Austin TX 78723
139,Burglary: Breaking & Entering,12/01/2014 12:00:00 AM,1401 E RUNDBERG LN                                                                                  Austin TX 78753
140,Theft: BOV,01/27/2014 12:00:00 AM,6907 WOODHUE DR                                                                                     Austin TX 78745
141,Theft: Auto Theft,03/22/2014 12:00:00 AM,8913 COASTAL DR                                                                                     Austin TX 78749
142,Aggravated Assault,06/16/2014 12:00:00 AM,2000 BURTON DR                                                                                      Austin TX 78741
143,Theft: All Other Larceny,02/26/2014 12:00:00 AM,10901 DOMAIN DR                                                                                     Austin TX 78758
144,Theft: BOV,11/20/2014 12:00:00 AM,8715 BRIDGEPORT DR                                                                                  Austin TX 78758
145,Theft: All Other Larceny,08/01/2014 12:00:00 AM,2200 RIVERVIEW ST                                                                                   Austin TX 78702
146,Theft: All Other Larceny,11/12/2014 12:00:00 AM,500 E STASSNEY LN                                                                                   Austin TX 78745
147,Theft: All Other Larceny,01/30/2014 12:00:00 AM,400 GROVE BLVD                                                                                      Austin TX 78741
148,Theft: All Other Larceny,11/30/2014 12:00:00 AM,3001 ESPERANZA XING                                                                                 Austin TX 78758
149,Theft: BOV,07/28/2014 12:00:00 AM,300 FERGUSON DR                                                                                     Austin TX 78753
150,Theft: All Other Larceny,06/03/2014 12:00:00 AM,2525 W ANDERSON LN                                                                                  Austin TX 78757
151,Burglary: Breaking & Entering,11/20/2014 12:00:00 AM,1070 MEARNS MEADOW BLVD                                                                             Austin TX 78758
152,Theft: Shoplifting,03/09/2014 12:00:00 AM,8201 N FM 620 RD                                                                                    Austin TX 78726
153,Burglary: Breaking & Entering,08/10/2014 12:00:00 AM,3707 MANCHACA RD                                                                                    Austin TX 78704
154,Burglary: Breaking & Entering,06/30/2014 12:00:00 AM,4800 SPICEWOOD SPRINGS RD                                                                           Austin TX 78759
155,Theft: BOV,02/13/2014 12:00:00 AM,3100 COHOBA DR                                                                                      Austin TX 78748
156,Burglary: Breaking & Entering,11/05/2014 12:00:00 AM,5001 CONVICT HILL RD                                                                                Austin TX 78749
157,Theft: BOV,02/20/2014 12:00:00 AM,8230 RESEARCH BLVD SB                                                                               Austin TX 78757
158,Theft: BOV,09/23/2014 12:00:00 AM,8507 CASPIAN DR                                                                                     Austin TX 78749
159,Theft: All Other Larceny,05/28/2014 12:00:00 AM,1705 S 6TH ST                                                                                       Austin TX 78704
160,Theft: from Building,02/13/2014 12:00:00 AM,500 E 7TH ST                                                                                        Austin TX 78701
161,Theft: All Other Larceny,04/14/2014 12:00:00 AM,6300 E US 290 HWY SVRD WB                                                                           Austin TX 78752
162,Theft: All Other Larceny,09/05/2014 12:00:00 AM,2104 CULLEN AVE                                                                                     Austin TX 78757
163,Theft: All Other Larceny,02/21/2014 12:00:00 AM,1711 ROCKBRIDGE TER                                                                                 Austin TX 78741
164,Theft: All Other Larceny,04/05/2014 12:00:00 AM,12621 SCOFIELD FARMS DR                                                                             Austin TX 78727
165,Theft: BOV,07/05/2014 12:00:00 AM,601 W SLAUGHTER LN                                                                                  Austin TX 78748
166,Theft: All Other Larceny,12/08/2014 12:00:00 AM,5005 PEPPER LN                                                                                      Austin TX 78744
167,Theft: All Other Larceny,10/12/2014 12:00:00 AM,6607 S IH 35 SVRD NB                                                                                Austin TX 78744
168,Burglary: Breaking & Entering,01/16/2014 12:00:00 AM,2201 POMPTON DR                                                                                     Austin TX 78757
169,Theft: BOV,04/21/2014 12:00:00 AM,8000 SEMINARY RIDGE DR                                                                              Austin TX 78745
171,Theft: Auto Theft,08/28/2014 12:00:00 AM,8912 N LAMAR BLVD                                                                                   Austin TX 78758
172,Aggravated Assault,12/12/2014 12:00:00 AM,1071 CLAYTON LN                                                                                     Austin TX 78723
173,Theft: All Other Larceny,11/03/2014 12:00:00 AM,2804 S 1ST ST                                                                                       Austin TX 78704
174,Burglary: Breaking & Entering,07/09/2014 12:00:00 AM,10900 TWISTED ELM DR                                                                                Austin TX 78726
175,Burglary: Breaking & Entering,06/05/2014 12:00:00 AM,2200 ARPDALE ST                                                                                     Austin TX 78704
176,Aggravated Assault,04/06/2014 12:00:00 AM,609 W SLAUGHTER LN                                                                                  Austin TX 78748
177,Burglary: Breaking & Entering,10/06/2014 12:00:00 AM,1109 BLUE RIDGE DR                                                                                  Austin TX 78753
178,Theft: All Other Larceny,08/14/2014 12:00:00 AM,6104 WHELESS CV                                                                                     Austin TX 78723
179,Theft: BOV,10/08/2014 12:00:00 AM,3401 S IH 35 SVRD NB                                                                                Austin TX 78741
180,Theft: All Other Larceny,03/03/2014 12:00:00 AM,6503 STARSTREAK DR                                                                                  Austin TX 78745
181,Theft: Auto Theft,01/17/2014 12:00:00 AM,9600 S IH 35 SVRD SB                                                                                Austin TX 78748
182,Theft: Shoplifting,08/13/2014 12:00:00 AM,2101 W BEN WHITE BLVD SVRD EB                                                                       Austin TX 78745
185,Theft: All Other Larceny,12/27/2014 12:00:00 AM,6607 S IH 35 SVRD NB                                                                                Austin TX 78744
