,Offense_Description,Report_Date,Full_Address
4607,Theft,12-Aug-15,303 W 15TH ST                                                                                       Austin TX 78701
4608,Theft,19-Jan-15,422 E 6TH ST                                                                                        Austin TX 78701
4609,Burglary,16-Jul-15,9024 NORTHGATE BLVD                                                                                 Austin TX 78758
4610,Theft,11-Jul-15,10107 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
4611,Theft,29-Jul-15,1917 MANOR RD                                                                                       Austin TX 78722
4612,Theft,12-Mar-15,9600 S IH 35 SVRD SB                                                                                Austin TX 78748
4613,Theft,3-Jan-15,2222 RIO GRANDE ST                                                                                  Austin TX 78705
4614,Theft,15-May-15,12351 N IH 35 SVRD NB                                                                               Austin TX 78753
4615,Theft,2-Nov-15,608 W 23RD ST                                                                                       Austin TX 78705
4616,Burglary,12-Nov-15,3602 ABBATE CIR                                                                                     Austin TX 78721
4617,Robbery,5-Apr-15,800 WALLER ST                                                                                       Austin TX 78702
4618,Theft,4-Jun-15,7112 ED BLUESTEIN BLVD SVRD SB                                                                      Austin TX 78723
4619,Theft,8-Oct-15,2020 NUECES ST                                                                                      Austin TX 78705
4620,Robbery,23-Feb-15,11500 JOLLYVILLE RD                                                                                 Austin TX 78759
4621,Theft,14-Mar-15,9802 ROXANNA DR                                                                                     Austin TX 78748
4622,Theft,1-Dec-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
4623,Theft,18-Mar-15,12151 N IH 35 SVRD NB                                                                               Austin TX 78753
4624,Theft,23-Oct-15,1300 MARIPOSA DR                                                                                    Austin TX 78704
4625,Burglary,16-Mar-15,6700 KINGS PT                                                                                       Austin TX 78723
4626,Theft,8-Jan-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
4627,Burglary,7-Dec-15,5101 LANSING DR                                                                                     Austin TX 78745
4628,Theft,4-Mar-15,4520 CLAWSON RD                                                                                     Austin TX 78745
4629,Theft,29-Mar-15,8605 AZALEA TRL                                                                                     Austin TX 78759
4630,Theft,9-Apr-15,4200 S IH 35 SVRD SB                                                                                Austin TX 78745
4632,Theft,14-Dec-15,12005 ARRAN ST                                                                                      Austin TX 78754
4633,Theft,7-Aug-15,1300 NEWNING AVE                                                                                    Austin TX 78704
4634,Theft,6-Jul-15,1901 GREENBROOK PKWY                                                                                Austin TX 78723
4635,Theft,24-Apr-15,3800 MOUNT BONNELL RD                                                                               Austin TX 78731
4637,Theft,8-Dec-15,9828 GREAT HILLS TRL                                                                                Austin TX 78759
4638,Theft,25-Jun-15,2901 SAVILLE LOOP                                                                                   Austin TX 78741
4640,Theft,3-Aug-15,8515 S IH 35 SVRD NB                                                                                Austin TX 78744
4641,Theft,26-Sep-15,3753 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78704
4642,Theft,24-Jul-15,5526 N IH 35 SVRD SB                                                                                Austin TX 78751
4643,Agg Assault,3-Nov-15,11426 PTARMIGAN DR                                                                                  Austin TX 78758
4645,Theft,8-Sep-15,11305 FOUR POINTS DR                                                                                Austin TX 78726
4647,Theft,24-Sep-15,824 FAIRFIELD DR                                                                                    Austin TX 78758
4648,Theft,29-May-15,6518 ED BLUESTEIN BLVD SB                                                                           Austin TX 78723
4649,Theft: Auto Theft,23-Feb-15,1201 BARBARA JORDAN BLVD                                                                            Austin TX 78723
4650,Burglary,23-Jan-15,5309 WOODLAND OAKS CT                                                                               Austin TX 78744
4651,Theft,21-Oct-15,1910 COLLIER ST                                                                                     Austin TX 78704
4652,Theft: Auto Theft,25-Dec-15,411 W MARTIN LUTHER KING JR BLVD                                                                    Austin TX 78701
4654,Theft,14-Apr-15,6825 BURNET RD                                                                                      Austin TX 78757
4655,Theft,18-May-15,6600 S MOPAC EXPY SVRD SB                                                                           Austin TX 78749
4656,Theft,31-Jan-15,BRADSHAW RD / RIVER PLANTATION DR                                                                   Austin TX 78747
4657,Theft: Auto Theft,21-Jun-15,7635 GUADALUPE ST                                                                                   Austin TX 78752
4658,Theft,13-Aug-15,2326 S CONGRESS AVE                                                                                 Austin TX 78704
4659,Theft,27-May-15,1113 S 3RD ST                                                                                       Austin TX 78704
4660,Burglary,10-Jul-15,1704 NELMS DR                                                                                       Austin TX 78744
4661,Theft,8-Mar-15,4600 MUELLER BLVD                                                                                   Austin TX 78723
4662,Theft,2-Feb-15,6800 MC NEIL DR                                                                                     Austin TX 78729
4663,Theft,17-Jul-15,4900 CRAIGWOOD DR                                                                                   Austin TX 78725
4664,Theft,20-Oct-15,6518 ED BLUESTEIN BLVD SB                                                                           Austin TX 78723
4665,Robbery,25-Nov-15,7105 N IH 35 SVRD NB                                                                                Austin TX 78752
4666,Theft,23-Oct-15,8013 GREENSLOPE DR                                                                                  Austin TX 78759
4667,Theft,27-Sep-15,906 GLEN OAK DR                                                                                     Austin TX 78745
4668,Theft: Auto Theft,25-Sep-15,100 E SLAUGHTER LN                                                                                  Austin TX 78744
4669,Theft,25-Jan-15,12900 N IH 35 SB                                                                                    Austin TX 78753
4670,Theft,25-Mar-15,301 E 5TH ST                                                                                        Austin TX 78701
4671,Theft,13-Dec-15,401 LITTLE TEXAS LN                                                                                 Austin TX 78745
4674,Theft,2-Mar-15,4430 MANCHACA RD                                                                                    Austin TX 78745
4675,Theft,19-Feb-15,12820 N LAMAR BLVD                                                                                  Austin TX 78753
4676,Theft,16-Jan-15,8221 N IH 35 NB                                                                                     Austin TX 78753
4677,Agg Assault,29-Oct-15,600 SAN JACINTO BLVD                                                                                Austin TX 78701
4678,Theft,23-Jan-15,11401 HUNTERS LN                                                                                    Austin TX 78753
4679,Theft: Auto Theft,6-Sep-15,2112 NEWTON ST                                                                                      Austin TX 78704
4680,Agg Assault,30-Aug-15,4544 S LAMAR BLVD SVRD SB                                                                           Austin TX 78735
4681,Theft,29-Sep-15,9300 S IH 35 SB                                                                                     Austin TX 78745
4682,Theft,2-Apr-15,4131 SPICEWOOD SPRINGS RD                                                                           Austin TX 78731
4683,Theft,14-Jul-15,2400 S CONGRESS AVE                                                                                 Austin TX 78704
4684,Theft,1-Jan-15,6306 E RIVERSIDE DR                                                                                 Austin TX 78741
4685,Theft,23-Aug-15,801 E WILLIAM CANNON DR                                                                             Austin TX 78745
4686,Theft: Auto Theft,8-Sep-15,15200 DONNA JANE LOOP                                                                               Austin TX 78660
4687,Theft,18-Sep-15,6459 HART LN                                                                                        Austin TX 78731
4688,Theft,5-Dec-15,3600 PRESIDENTIAL BLVD                                                                              Austin TX 78719
4689,Theft,20-Nov-15,8202 TREEHOUSE LN                                                                                   Austin TX 78749
4690,Theft,10-Feb-15,3300 DUVAL RD                                                                                       Austin TX 78759
4691,Theft,18-Apr-15,5400 ATASCOSA DR                                                                                    Austin TX 78744
4692,Theft,9-Oct-15,2200 PEARL ST                                                                                       Austin TX 78705
4693,Theft,31-Jan-15,3017 S IH 35 SVRD NB                                                                                Austin TX 78741
4695,Theft,22-Dec-15,5017 W US 290 HWY SVRD EB                                                                           Austin TX 78749
4696,Theft,6-Nov-15,4805 BURNET RD                                                                                      Austin TX 78756
4697,Burglary,22-Dec-15,7711 BRODIE LN                                                                                      Austin TX 78745
4699,Theft,4-Sep-15,9333 RESEARCH BLVD SVRD NB                                                                          Austin TX 78759
4702,Theft,10-Feb-15,10401 ANDERSON MILL RD                                                                              Austin TX 78750
4703,Theft: Auto Theft,5-Jan-15,401 WOODWARD ST                                                                                     Austin TX 78704
4704,Theft,22-Aug-15,6405 DANWOOD DR                                                                                     Austin TX 78759
4705,Theft,5-Sep-15,8017 CARDIN DR                                                                                      Austin TX 78759
4709,Robbery,5-Apr-15,1515 WICKERSHAM LN                                                                                  Austin TX 78741
4710,Theft,18-Jan-15,3400 HARMON AVE                                                                                     Austin TX 78705
4711,Burglary,20-Apr-15,3201 WINDSOR RD                                                                                     Austin TX 78703
4714,Theft,19-Aug-15,8210 N IH 35 SVRD SB                                                                                Austin TX 78721
4716,Theft,28-Aug-15,2303 EAST SIDE DR                                                                                   Austin TX 78704
4718,Theft,26-Aug-15,200 CONGRESS AVE                                                                                    Austin TX 78701
4719,Robbery,15-Dec-15,1515 WICKERSHAM LN                                                                                  Austin TX 78741
4721,Theft,17-Dec-15,5009 GANYMEDE DR                                                                                    Austin TX 78727
4722,Theft: Auto Theft,15-Aug-15,E HOWARD LN / DESSAU RD                                                                             Austin TX 78660
4723,Agg Assault,4-Dec-15,1127 RUTLAND DR                                                                                     Austin TX 78758
4724,Theft,23-Feb-15,12443 TECH RIDGE BLVD                                                                               Austin TX 78753
4726,Burglary,4-Jun-15,6607 BRODIE LN                                                                                      Austin TX 78745
4728,Theft,3-Aug-15,1701 W BEN WHITE BLVD EB                                                                            Austin TX 78745
4729,Theft,14-Aug-15,7200 EASY WIND DR                                                                                   Austin TX 78757
4730,Theft,24-Aug-15,8210 BENT TREE RD                                                                                   Austin TX 78759
4731,Theft,2-Sep-15,5303 KING HENRY DR                                                                                  Austin TX 78724
4732,Theft,28-Nov-15,8900 N IH 35 NB                                                                                     Austin TX 78753
4733,Theft,4-Sep-15,1708 WINDOAK DR                                                                                     Austin TX 78741
4734,Theft,26-Feb-15,8805 NORTH PLZ                                                                                      Austin TX 78753
4735,Burglary,29-Nov-15,6800 BLUE DAWN TRL                                                                                  Austin TX 78744
4736,Theft,12-Dec-15,13201 N FM 620 RD NB                                                                                Austin TX 78729
4737,Theft,30-Jun-15,15119 N IH 35 SVRD NB                                                                               Austin TX 78660
4739,Theft,3-Oct-15,1400 THORNBERRY RD                                                                                  Austin TX 78617
4740,Theft,23-Jul-15,8610 MILLWAY DR                                                                                     Austin TX 78757
4742,Theft,18-Jul-15,612 W 6TH ST                                                                                        Austin TX 78701
4743,Theft,5-Apr-15,3503 WEBBERVILLE RD                                                                                 Austin TX 78702
4744,Theft,25-Apr-15,4210 RED RIVER ST                                                                                   Austin TX 78751
4746,Burglary,31-Dec-15,3605 STECK AVE                                                                                      Austin TX 78759
4748,Theft,10-May-15,1705 FRONTIER VALLEY DR                                                                             Austin TX 78741
4749,Agg Assault,16-May-15,2401 S LAKESHORE BLVD                                                                               Austin TX 78741
4751,Theft,21-Jul-15,401 W 2ND ST                                                                                        Austin TX 78701
4752,Theft,22-May-15,5706 SANDHURST CIR                                                                                  Austin TX 78723
4753,Theft,8-Dec-15,2222 E OLTORF ST                                                                                    Austin TX 78741
4754,Theft,7-Oct-15,BARTON SPRINGS RD / ROBERT E LEE RD                                                                 Austin TX 78704
4755,Theft,4-May-15,7522 N IH 35 SVRD SB                                                                                Austin TX 78752
4756,Burglary,26-May-15,5100 EILERS AVE                                                                                     Austin TX 78751
4758,Theft,6-May-15,6005 EUREKA DR                                                                                      Austin TX 78745
4759,Burglary,7-Jul-15,1919 BURTON DR                                                                                      Austin TX 78741
4761,Theft,26-Feb-15,ED BLUESTEIN BLVD SVRD NB / MANOR RD                                                                Austin TX 78724
4763,Theft,3-Jul-15,4808 RUNNING DEER DR                                                                                Austin TX 78759
4765,Theft,2-Jan-15,705 W 29TH ST                                                                                       Austin TX 78705
4766,Theft,1-Nov-15,3600 S IH 35 SVRD SB                                                                                Austin TX 78704
4768,Robbery,21-Jul-15,3707 MANCHACA RD                                                                                    Austin TX 78704
4770,Burglary,17-Apr-15,4907 BRASSIEWOOD DR                                                                                 Austin TX 78744
4771,Theft,29-Oct-15,501 E 8TH ST                                                                                        Austin TX 78701
4773,Robbery,19-Feb-15,2121 BURTON DR                                                                                      Austin TX 78741
4774,Theft,1-Nov-15,302 W 6TH ST                                                                                        Austin TX 78701
4776,Theft,15-Mar-15,12351 N IH 35 SVRD NB                                                                               Austin TX 78753
4777,Theft,30-Jun-15,3600 PRESIDENTIAL BLVD                                                                              Austin TX 78719
4778,Theft,19-Feb-15,7309 HARTNELL DR                                                                                    Austin TX 78723
4779,Theft,21-Sep-15,2811 SALADO ST                                                                                      Austin TX 78705
4780,Burglary,11-Sep-15,2421 BITTER CREEK DR                                                                                Austin TX 78744
4781,Theft,23-Jan-15,15008 CORDERO DR                                                                                    Austin TX 78717
4782,Burglary,21-Oct-15,6300 MONSANTO DR                                                                                    Austin TX 78741
4783,Theft,19-Jan-15,1515 WICKERSHAM LN                                                                                  Austin TX 78741
4786,Theft,10-Jul-15,11200 LAKELINE MALL DR                                                                              Austin TX 78613
4787,Robbery,21-Jun-15,3701 N IH 35 SVRD NB                                                                                Austin TX 78722
4788,Theft,14-Oct-15,606 E ANDERSON LN EB                                                                                Austin TX 78752
4789,Theft,5-Mar-15,E 6TH ST / CONGRESS AVE                                                                             Austin TX 78701
4790,Theft,20-Nov-15,702 W 25TH ST                                                                                       Austin TX 78705
4791,Theft,16-Mar-15,3100 CROSSCREEK DR                                                                                  Austin TX 78757
4792,Theft,25-Jul-15,2828 SALADO ST                                                                                      Austin TX 78705
4793,Theft,24-Jul-15,2250 RIDGEPOINT DR                                                                                  Austin TX 78754
4794,Theft,14-Feb-15,710 E BEN WHITE BLVD SVRD WB                                                                        Austin TX 78704
4795,Theft,4-Dec-15,7901 CAMERON RD                                                                                     Austin TX 78754
4796,Theft,8-Jul-15,11717 BLACKHAWK DR                                                                                  Austin TX 78759
4797,Theft,11-Sep-15,3208 FOSTER LN                                                                                      Austin TX 78757
4798,Theft,16-Feb-15,7304 MC NEIL DR                                                                                     Austin TX 78729
4799,Theft,28-Jan-15,913 LINDEN ST                                                                                       Austin TX 78702
4800,Burglary,13-Jul-15,7001 BENNETT AVE                                                                                    Austin TX 78752
4801,Burglary,22-Mar-15,915 W OLTORF ST                                                                                     Austin TX 78704
4802,Theft,22-Apr-15,9607 RESEARCH BLVD NB                                                                               Austin TX 78759
4803,Theft,15-Apr-15,3615 GARDEN VILLA LN                                                                                Austin TX 78704
4804,Theft,16-Jan-15,10850 STONELAKE BLVD                                                                                Austin TX 78759
4805,Theft,30-Aug-15,2660 PIPING ROCK TRL                                                                                Austin TX 78748
4806,Theft,1-Jun-15,2908 MOSSBACK LN                                                                                    Austin TX 78739
4807,Theft,7-Dec-15,701 MEADOW LARK AVE                                                                                 Austin TX 78753
4808,Theft,10-Nov-15,11100 AMARANTH LN                                                                                   Austin TX 78754
4809,Burglary,12-Apr-15,2607 W BRAKER LN                                                                                    Austin TX 78758
4810,Burglary,26-Mar-15,7812 MULLEN DR                                                                                      Austin TX 78757
4811,Theft,28-Jul-15,12800 HARRISGLENN DR                                                                                Austin TX 78753
4813,Theft,19-Oct-15,11200 LAKELINE MALL DR                                                                              Austin TX 78613
4814,Burglary,18-Jul-15,1603 SUFFOLK DR                                                                                     Austin TX 78723
4815,Theft,6-Mar-15,9500 S IH 35 SVRD SB                                                                                Austin TX 78748
4816,Theft,18-Sep-15,3755 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78704
4817,Theft,1-Sep-15,916 E KOENIG LN WB                                                                                  Austin TX 78752
4818,Burglary,7-Dec-15,8101 N LAMAR BLVD NB                                                                                Austin TX 78753
4819,Burglary,18-Mar-15,8812 TALLWOOD DR                                                                                    Austin TX 78759
4821,Theft: Auto Theft,2-Apr-15,7920 SAN FELIPE BLVD                                                                                Austin TX 78729
4822,Theft,3-Mar-15,10301 FM 2222 RD                                                                                    Austin TX 78730
4823,Burglary,18-Sep-15,1303 W ST JOHNS AVE                                                                                 Austin TX 78757
4824,Theft,2-Apr-15,3504 GABLE DR                                                                                       Austin TX 78759
4827,Agg Assault,1-Oct-15,5800 TECHNI CENTER DR                                                                               Austin TX 78721
4828,Theft,8-Dec-15,5801 HIGHLAND HILLS DR                                                                              Austin TX 78731
4829,Theft,17-Sep-15,E ST JOHNS AVE / BLESSING AVE                                                                       Austin TX 78752
4830,Theft,9-Feb-15,500 E BEN WHITE BLVD SVRD WB                                                                        Austin TX 78704
4831,Theft,21-Mar-15,3311 ESPERANZA XING                                                                                 Austin TX 78758
4832,Theft,29-Mar-15,2418 STRATFORD DR                                                                                   Austin TX 78746
4833,Theft,12-Nov-15,8713 PLEASANT LN                                                                                    Austin TX 78754
4834,Theft,14-Jan-15,10420 METRIC BLVD                                                                                   Austin TX 78758
4835,Murder,7-Nov-15,1811 E CESAR CHAVEZ ST                                                                              Austin TX 78702
4837,Theft,2-Jun-15,2101 E ST ELMO RD                                                                                   Austin TX 78744
4838,Theft,1-Jul-15,9600 S IH 35 SVRD SB                                                                                Austin TX 78748
4839,Theft,22-Jan-15,3703 ROBINSON AVE                                                                                   Austin TX 78722
4841,Theft,30-Jul-15,9715 OAK HOLLOW DR                                                                                  Austin TX 78758
4842,Theft,16-Jul-15,9900 S IH 35 SB                                                                                     Austin TX 78748
4844,Theft,16-Dec-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
4845,Burglary,20-Oct-15,811 E 41ST ST                                                                                       Austin TX 78751
4847,Theft,8-Feb-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
4848,Theft,12-Feb-15,2525 W ANDERSON LN                                                                                  Austin TX 78757
4849,Theft,28-Sep-15,1515 WICKERSHAM LN                                                                                  Austin TX 78741
4851,Burglary,22-Sep-15,8033 GESSNER DR                                                                                     Austin TX 78753
4852,Theft,18-Oct-15,1620 RUTLAND DR                                                                                     Austin TX 78758
4853,Theft,29-Apr-15,2340 S LAMAR BLVD                                                                                   Austin TX 78704
4854,Theft,28-Oct-15,900 W 26TH ST                                                                                       Austin TX 78705
4856,Theft,12-Oct-15,1101 GROVE BLVD                                                                                     Austin TX 78741
4857,Theft,7-Apr-15,1000 E 41ST ST                                                                                      Austin TX 78751
4858,Theft,28-Mar-15,800 COMAL ST                                                                                        Austin TX 78702
4859,Theft,19-Mar-15,6900 BRODIE LN                                                                                      Austin TX 78749
4861,Burglary,2-Mar-15,3805 STEVENSON AVE                                                                                  Austin TX 78703
4862,Theft,21-Jan-15,2201 DENTON DR                                                                                      Austin TX 78758
4863,Burglary,13-May-15,8210 N IH 35 SVRD SB                                                                                Austin TX 78753
4864,Theft,26-Aug-15,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
4865,Theft,22-Oct-15,1901 E WILLIAM CANNON DR                                                                            Austin TX 78744
4866,Agg Assault,1-Jul-15,1000 NEAL ST                                                                                        Austin TX 78702
4867,Theft,3-Feb-15,12532 SPLIT RAIL PKWY                                                                               Austin TX 78750
4868,Theft,8-Aug-15,12101 DESSAU RD                                                                                     Austin TX 78754
4869,Theft,2-Nov-15,306 W RUNDBERG LN                                                                                   Austin TX 78753
4870,Theft,9-Oct-15,4402 BALCONES WOODS DR                                                                              Austin TX 78759
4871,Theft,10-Apr-15,5017 W US 290 HWY SVRD EB                                                                           Austin TX 78749
4872,Theft,1-Feb-15,3300 PARKER LN                                                                                      Austin TX 78741
4874,Burglary,17-Sep-15,7103 E US 290 HWY SVRD EB                                                                           Austin TX 78723
4875,Theft,7-Apr-15,1700 FRONTIER VALLEY DR                                                                             Austin TX 78741
4876,Theft,15-Aug-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
4877,Agg Assault,29-Apr-15,11320 JUNE DR                                                                                       Austin TX 78753
4878,Theft,26-Nov-15,11215 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
4879,Theft,2-Oct-15,4600 MUELLER BLVD                                                                                   Austin TX 78723
4880,Burglary,20-Jul-15,7033 E US 290 HWY SVRD EB                                                                           Austin TX 78723
4881,Theft,28-Oct-15,6400 LOYOLA LN                                                                                      Austin TX 78724
4882,Theft,26-Oct-15,10711 BURNET RD                                                                                     Austin TX 78758
4884,Theft,25-Jun-15,501 E ANNIE ST                                                                                      Austin TX 78704
4885,Agg Assault,28-Sep-15,700 NECHES ST                                                                                       Austin TX 78701
4886,Theft,25-Jun-15,5447 PASEO NUEVO CIR                                                                                Austin TX 78617
4887,Theft,19-May-15,7000 DECKER LN                                                                                      Austin TX 78724
4888,Theft,18-May-15,E 11TH ST / N IH 35 SVRD NB                                                                         Austin TX 78702
4889,Theft,29-May-15,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
4890,Theft,14-Dec-15,5017 W US 290 HWY SVRD EB                                                                           Austin TX 78749
4891,Burglary,24-Aug-15,2600 GRACY FARMS LN                                                                                 Austin TX 78758
4892,Theft,12-Apr-15,13301 N US 183 HWY NB                                                                               Austin TX 78729
4893,Burglary,4-Jul-15,6317 KEDINGTON ST                                                                                   Austin TX 78747
4894,Agg Assault,13-Apr-15,2007 KRAMER LN                                                                                      Austin TX 78758
4895,Burglary,18-Feb-15,10300 GOLDEN MEADOW DR                                                                              Austin TX 78758
4896,Theft,3-Sep-15,9306 HUNTERS TRCE                                                                                   Austin TX 78758
4897,Theft,22-Mar-15,4600 NUCKOLS CROSSING RD                                                                            Austin TX 78744
4898,Theft,23-Nov-15,1000 E 41ST ST                                                                                      Austin TX 78751
4899,Theft,13-Feb-15,9012 RESEARCH BLVD SB                                                                               Austin TX 78757
4900,Theft,25-Oct-15,2111 TEAKWOOD DR                                                                                    Austin TX 78757
4901,Theft,10-Dec-15,9200 NORTH PLZ                                                                                      Austin TX 78753
4902,Burglary,20-Nov-15,6409 SPRINGDALE RD                                                                                  Austin TX 78723
4903,Burglary,28-Mar-15,2000 LIGHTSEY RD                                                                                    Austin TX 78704
4904,Theft,5-Jan-15,3901 SPEEDWAY                                                                                       Austin TX 78751
4905,Theft,10-Jan-15,1044 NORWOOD PARK BLVD                                                                              Austin TX 78753
4906,Theft,6-Oct-15,3600 PRESIDENTIAL BLVD                                                                              Austin TX 78719
4907,Theft,14-Feb-15,12707 N MOPAC EXPY NB                                                                               Austin TX 78727
4908,Theft,28-Jul-15,11907 ARABIAN TRL                                                                                   Austin TX 78759
4909,Theft,19-Jul-15,1161 ANGELINA ST                                                                                    Austin TX 78702
4912,Theft,24-Jul-15,6600 ED BLUESTEIN BLVD SB                                                                           Austin TX 78723
4913,Theft: Auto Theft,30-Jan-15,2513 SETON AVE                                                                                      Austin TX 78749
4914,Theft,18-Oct-15,12330 N IH 35 SVRD SB                                                                               Austin TX 78753
4915,Theft,26-Nov-15,2300 W BEN WHITE BLVD WB                                                                            Austin TX 78704
4916,Theft,7-Oct-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
4917,Theft,27-Jul-15,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
4918,Theft,13-Dec-15,15010 FM 1825 RD                                                                                    Austin TX 78660
4919,Burglary,22-Aug-15,2803 LOYOLA LN                                                                                      Austin TX 78723
4921,Theft,10-Dec-15,9500 S IH 35 SVRD SB                                                                                Austin TX 78748
4922,Agg Assault,3-Oct-15,2617 EKTOM DR                                                                                       Austin TX 78745
4923,Theft,20-Nov-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
4924,Theft,24-Aug-15,525 N LAMAR BLVD                                                                                    Austin TX 78703
4925,Theft,13-Mar-15,622 GUNTER ST                                                                                       Austin TX 78702
4927,Theft,28-Apr-15,1706 E WILLIAM CANNON DR                                                                            Austin TX 78744
4928,Theft,31-Mar-15,3310 CATALINA DR                                                                                    Austin TX 78741
4930,Theft,6-Aug-15,2901 BLOCK S CAPITAL OF TEXAS HWY NB                                                                Austin TX 78746
4931,Burglary,1-May-15,2943 E 12TH ST                                                                                      Austin TX 78702
4932,Theft,10-Feb-15,1605 DUNGAN LN                                                                                      Austin TX 78754
4933,Theft,4-Nov-15,2607 PINEWOOD TER                                                                                   Austin TX 78757
4934,Burglary,26-Dec-15,5702 EXETER DR                                                                                      Austin TX 78723
4937,Theft: Auto Theft,29-Aug-15,901 W BEN WHITE BLVD SVRD EB                                                                        Austin TX 78745
4939,Theft,10-Jan-15,2102 FORDHAM CV                                                                                     Austin TX 78723
4940,Theft,27-Mar-15,5621 N IH 35 SVRD NB                                                                                Austin TX 78723
4941,Theft,29-Jan-15,E CESAR CHAVEZ ST / SAN JACINTO BLVD                                                                Austin TX 78701
4942,Theft,20-Mar-15,2701 E 7TH ST                                                                                       Austin TX 78702
4943,Theft,1-May-15,115 SANDRA MURAIDA WAY                                                                              Austin TX 78703
4944,Theft: Auto Theft,22-Jan-15,2624 LYNNBROOK DR                                                                                   Austin TX 78748
4945,Agg Assault,5-Feb-15,6912 BRYN MAWR DR                                                                                   Austin TX 78723
4946,Burglary,5-Feb-15,10300 JOLLYVILLE RD                                                                                 Austin TX 78759
4947,Burglary,27-Nov-15,2701 MANOR RD                                                                                       Austin TX 78722
4948,Theft,22-Jun-15,5218 MARYMOUNT DR                                                                                   Austin TX 78723
4950,Theft,21-Jan-15,9500 S IH 35 SVRD SB                                                                                Austin TX 78748
4951,Theft,23-Jul-15,500 CANYON RIDGE DR                                                                                 Austin TX 78753
4952,Theft,22-Oct-15,1815 TRINITY ST                                                                                     Austin TX 78701
4953,Theft,28-Jul-15,2525 W ANDERSON LN                                                                                  Austin TX 78757
4954,Theft: Auto Theft,26-Oct-15,1215 W SLAUGHTER LN                                                                                 Austin TX 78748
4955,Theft,12-Jul-15,500 COMAL ST                                                                                        Austin TX 78702
4956,Burglary,14-Sep-15,2903 FRENCH PL                                                                                      Austin TX 78722
4957,Theft,15-Jun-15,2600 W STASSNEY LN                                                                                  Austin TX 78745
4958,Theft: Auto Theft,20-Dec-15,8220 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
4959,Theft,11-Dec-15,10107 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
4960,Theft,15-Aug-15,1900 UNIVERSITY AVE                                                                                 Austin TX 78705
4961,Theft: Auto Theft,16-Mar-15,833 FAIRFIELD DR                                                                                    Austin TX 78758
4962,Theft,13-Mar-15,600 W WILLIAM CANNON DR                                                                             Austin TX 78745
4963,Theft,26-Mar-15,2215 RIO GRANDE ST                                                                                  Austin TX 78705
4964,Theft,29-Jan-15,10801 OLD MANCHACA RD                                                                               Austin TX 78748
4965,Theft,21-Jan-15,2222 E OLTORF ST                                                                                    Austin TX 78741
4966,Theft,22-Sep-15,2414 GUADALUPE ST                                                                                   Austin TX 78705
4967,Theft,30-Dec-15,501 E 8TH ST                                                                                        Austin TX 78701
4968,Theft,7-Dec-15,6001 W PARMER LN                                                                                    Austin TX 78727
4969,Theft,22-Jun-15,415 W SLAUGHTER LN                                                                                  Austin TX 78748
4970,Theft,3-Sep-15,613 TERRELL HILL DR                                                                                 Austin TX 78704
4972,Theft,25-Mar-15,8300 SHENANDOAH DR                                                                                  Austin TX 78753
4973,Agg Assault,6-Mar-15,4415 BUCKS RUN                                                                                      Austin TX 78744
4974,Theft,3-Nov-15,7306 SHOAL CREEK BLVD                                                                               Austin TX 78757
4975,Theft,11-Feb-15,7213 LAZY CREEK DR                                                                                  Austin TX 78724
4976,Theft,15-May-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
4977,Theft,29-May-15,4110 FELTER LN                                                                                      Austin TX 78744
4978,Theft,4-Feb-15,1000 E 41ST ST                                                                                      Austin TX 78751
4980,Theft,24-Sep-15,13355 N US 183 HWY SVRD NB                                                                          Austin TX 78729
4981,Theft,13-Mar-15,9601 MIDDLE FISKVILLE RD                                                                            Austin TX 78753
4982,Theft,3-Dec-15,1314 NORWALK LN                                                                                     Austin TX 78703
4985,Theft,18-May-15,1515 WICKERSHAM LN                                                                                  Austin TX 78741
4986,Burglary,29-Sep-15,1912 E WILLIAM CANNON DR                                                                            Austin TX 78744
4988,Theft,6-Aug-15,5101 EVANS AVE                                                                                      Austin TX 78751
4989,Burglary,2-Mar-15,1509 W 38TH ST                                                                                      Austin TX 78731
4991,Theft,3-Oct-15,601 E 15TH ST                                                                                       Austin TX 78701
4992,Agg Assault,13-Jul-15,12221 N MOPAC EXPY SVRD NB                                                                          Austin TX 78758
4993,Agg Assault,12-Mar-15,1425 W WELLS BRANCH PKWY                                                                            Austin TX 78660
4994,Theft: Auto Theft,31-May-15,1300 CROSSING PL                                                                                    Austin TX 78741
