PRIMARY_KEY,REP_DATE,REP_TIME,SEX,AGE_AT_OFFENSE,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201520134,1/2/15 00:00,212,M,41,BLACK,10313 LAKE CREEK PKWY,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INVENTORY OF TOWED VEHICLE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3096175,10140350,ADAM PD,6
201520154,1/2/15 00:00,222,M,32,BLACK,MANOR RD / ROGGE LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133403,10084477,IDA,1
201520208,1/2/15 00:00,400,M,36,BLACK,MANOR RD / E 51ST ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131645,10082117,BAKER,1
201521297,1/2/15 00:00,1947,M,33,BLACK,10300 BURNET RD,YES = 1,VIOLATION OF CITY ORDIANCE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119475,10114196,ADAM PD,7
201521443,1/2/15 00:00,2045,F,67,WHITE,S IH 35 SVRD SB / WOODWARD ST,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3113147,10054510,HENR,3
201521480,1/2/15 00:00,2223,F,21,BLACK,13600 N US 183 HWY SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3097271,10137435,ADAM PD,6
201521533,1/2/15 00:00,2228,M,58,HISPANIC OR LATINO,9400 MIDDLE FISKVILLE RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131341,10103786,EDWARD,4
201521560,1/3/15 00:00,215,M,24,HISPANIC OR LATINO,2500 E RIVERSIDE DR,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3120704,10059020,HENR,3
201521597,1/3/15 00:00,11,M,24,WHITE,13400 N US 183 HWY SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3098246,10135314,ADAM PD,6
201521601,1/2/15 00:00,2311,M,33,HISPANIC OR LATINO,AIRPORT BLVD / MANOR RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125657,10077650,BAKER,1
201521624,1/2/15 00:00,2244,F,43,WHITE,2400 GUADALUPE ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114481,10077929,BAKER,9
201530102,1/3/15 00:00,459,M,22,HISPANIC OR LATINO,306 W RUNDBERG LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3128722,10105408,EDWARD,4
201530105,1/3/15 00:00,150,F,27,WHITE,10205 N LAMAR BLVD,YES = 1,SUSPICIOUS PERSON / VEHICLE,INCIDENTAL TO ARREST,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3129643,10108927,EDWARD,4
201530134,1/3/15 00:00,223,M,34,WHITE,E 7TH ST / SAN JACINTO BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3115184,10070857,GEORGE,9
201530182,1/3/15 00:00,157,F,24,WHITE,1600 W 6TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3107953,10073117,BAKER,9
201530185,1/3/15 00:00,200,M,21,HISPANIC OR LATINO,9200 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3127570,10105025,EDWARD,4
