Offense_Description,Report_Date,Full Address,Zip
Theft: All Other Larceny,10/13/2014 12:00:00 AM,1182 OAK GROVE AVE                                                                                  ,78702
Theft: BOV,12/31/2014 12:00:00 AM,10000 RESEARCH BLVD SVRD SB                                                                         ,78759
Theft: BOV,07/07/2014 12:00:00 AM,7411 LOGANBERRY DR                                                                                  ,78745
Robbery,04/27/2014 12:00:00 AM,6600 MIDDLE FISKVILLE RD                                                                            ,78752
Theft: BOV,03/13/2014 12:00:00 AM,4516 SETON CENTER PKWY                                                                              ,78759
Theft: BOV,03/27/2014 12:00:00 AM,7000 DECKER LN                                                                                      ,78724
Theft: All Other Larceny,04/21/2014 12:00:00 AM,1221 S IH 35 NB                                                                                     ,78741
Theft: All Other Larceny,01/23/2014 12:00:00 AM,115 SANDRA MURAIDA WAY                                                                              ,78703
Robbery,05/25/2014 12:00:00 AM,9414 N LAMAR BLVD                                                                                   ,78758
Theft: All Other Larceny,04/04/2014 12:00:00 AM,406 E 6TH ST                                                                                        ,78701
Theft: Shoplifting,06/18/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                ,78748
Robbery,10/12/2014 12:00:00 AM,5361 N IH 35 SVRD NB                                                                                ,78723
Theft: Auto Theft,06/23/2014 12:00:00 AM,5505 EMERALD FOREST DR                                                                              ,78745
Theft: Shoplifting,10/18/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft: All Other Larceny,01/20/2014 12:00:00 AM,10205 BROWNIE DR                                                                                    ,78753
Aggravated Assault,08/02/2014 12:00:00 AM,2805 RAY WOOD DR                                                                                    ,78704
Theft: BOV,09/06/2014 12:00:00 AM,2100 VANDERBILT LN                                                                                  ,78723
Burglary: Breaking & Entering,02/25/2014 12:00:00 AM,2905 E 2ND ST                                                                                       ,78702
Theft: All Other Larceny,04/18/2014 12:00:00 AM,4804 LOYOLA LN                                                                                      ,78723
Theft: Shoplifting,04/17/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft: All Other Larceny,02/20/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,78746
Aggravated Assault,11/06/2014 12:00:00 AM,1845 BURTON DR                                                                                      ,78741
Burglary: Breaking & Entering,12/09/2014 12:00:00 AM,10024 N CAPITAL OF TEXAS HWY NB                                                                     ,78759
Theft: Shoplifting,07/23/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft: Auto Theft,06/15/2014 12:00:00 AM,7000 DECKER LN                                                                                      ,78724
Burglary: Breaking & Entering,04/28/2014 12:00:00 AM,5902 COUGAR DR                                                                                      ,78745
Theft: All Other Larceny,06/17/2014 12:00:00 AM,2114 W SLAUGHTER LN                                                                                 ,78748
Theft: All Other Larceny,07/23/2014 12:00:00 AM,8806 PINERIDGE DR                                                                                   ,78729
Theft: BOV,05/04/2014 12:00:00 AM,2200 BLOCK STEPHEN F AUSTIN DR                                                                      ,78703
Theft: Shoplifting,12/31/2014 12:00:00 AM,1420 W WELLS BRANCH PKWY                                                                            ,78660
Theft: BOV,11/10/2014 12:00:00 AM,110 E SKYVIEW RD                                                                                    ,78752
Theft: Shoplifting,09/12/2014 12:00:00 AM,600 W WILLIAM CANNON DR                                                                             ,78745
Theft: BOV,02/16/2014 12:00:00 AM,4302 BELLVUE AVE                                                                                    ,78756
