Offense_Description,Report_Date,Full Address,Zip
Theft: All Other Larceny,04/14/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                ,78748
Theft: Pocket Picking,08/18/2014 12:00:00 AM,2707 S IH 35 SVRD NB                                                                                ,78741
Theft: BOV,07/01/2014 12:00:00 AM,6813 MC NEIL DR                                                                                     ,78727
Theft: Shoplifting,02/15/2014 12:00:00 AM,710 E BEN WHITE BLVD SVRD WB                                                                        ,78704
Theft: BOV,11/17/2014 12:00:00 AM,2900 GREENLEE DR                                                                                    ,78703
Theft: Shoplifting,02/07/2014 12:00:00 AM,13201 N FM 620 RD NB                                                                                ,78729
Theft: All Other Larceny,02/09/2014 12:00:00 AM,217 E 6TH ST                                                                                        ,78701
Theft: BOV,06/25/2014 12:00:00 AM,1213 BICKLER RD                                                                                     ,78704
Theft: from Building,06/03/2014 12:00:00 AM,8900 CAMERON RD                                                                                     ,78753
Theft: Shoplifting,03/13/2014 12:00:00 AM,12707 N MOPAC EXPY NB                                                                               ,78727
Theft: All Other Larceny,07/14/2014 12:00:00 AM,3008 W SLAUGHTER LN                                                                                 ,78748
Theft: All Other Larceny,01/15/2014 12:00:00 AM,3210 ESPERANZA XING                                                                                 ,78758
Theft: Pocket Picking,10/15/2014 12:00:00 AM,6900 BRODIE LN                                                                                      ,78749
Theft: All Other Larceny,05/26/2014 12:00:00 AM,11515 METRIC BLVD                                                                                   ,78758
Theft: All Other Larceny,04/13/2014 12:00:00 AM,3406 MANCHACA RD                                                                                    ,78704
Theft: Auto Theft,04/22/2014 12:00:00 AM,7487 CHEVY CHASE DR                                                                                 ,78752
Theft: BOV,08/27/2014 12:00:00 AM,907 W SLAUGHTER LN                                                                                  ,78748
Theft: All Other Larceny,01/26/2014 12:00:00 AM,6515 S IH 35 SVRD NB                                                                                ,78744
Theft: All Other Larceny,05/31/2014 12:00:00 AM,8600 N FM 620 RD                                                                                    ,78726
Theft: All Other Larceny,03/05/2014 12:00:00 AM,1300 CROSSING PL                                                                                    ,78741
Theft: All Other Larceny,02/07/2014 12:00:00 AM,1806 E 12TH ST                                                                                      ,78702
Theft: BOV,08/23/2014 12:00:00 AM,2314 PARKER LN                                                                                      ,78741
Burglary: Breaking & Entering,11/10/2014 12:00:00 AM,4709 BLUEBERRY TRL                                                                                  ,78723
Burglary: Breaking & Entering,05/18/2014 12:00:00 AM,5209 S PLEASANT VALLEY RD                                                                           ,78744
Theft: Auto Theft,06/14/2014 12:00:00 AM,7017 MANCHACA RD                                                                                    ,78745
Theft: All Other Larceny,03/14/2014 12:00:00 AM,6003 COUGAR DR                                                                                      ,78745
Aggravated Assault,07/27/2014 12:00:00 AM,10800 N IH 35 NB                                                                                    ,78753
Theft: All Other Larceny,02/03/2014 12:00:00 AM,7100 N IH 35 SVRD SB                                                                                ,78752
Theft: BOV,12/29/2014 12:00:00 AM,10139 METROPOLITAN DR                                                                               ,78758
Theft: Pocket Picking,07/06/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 ,78741
Theft: BOV,07/30/2014 12:00:00 AM,5810 NORTH HAMPTON DR                                                                               ,78723
Theft: Shoplifting,01/02/2014 12:00:00 AM,11600 CENTURY OAKS TER                                                                              ,78758
Robbery,02/15/2014 12:00:00 AM,700 RIO GRANDE ST                                                                                   ,78701
Theft: All Other Larceny,08/05/2014 12:00:00 AM,4200 JACKSON AVE                                                                                    ,78731
Theft: BOV,09/23/2014 12:00:00 AM,1007 E RUNDBERG LN                                                                                  ,78753
Theft: All Other Larceny,04/04/2014 12:00:00 AM,2101 BURTON DR                                                                                      ,78741
Theft: Shoplifting,09/01/2014 12:00:00 AM,12900 N IH 35 SVRD SB                                                                               ,78753
Theft: All Other Larceny,11/04/2014 12:00:00 AM,9323 BURNET RD                                                                                      ,78758
Theft: BOV,06/20/2014 12:00:00 AM,1200 W HOWARD LN                                                                                    ,78660
Theft: BOV,05/28/2014 12:00:00 AM,2200 WILLOW CREEK DR                                                                                ,78741
Aggravated Assault,02/10/2014 12:00:00 AM,900 SAHARA AVE                                                                                      ,78745
Theft: All Other Larceny,12/01/2014 12:00:00 AM,10616 RESEARCH BLVD SB                                                                              ,78759
Burglary: Breaking & Entering,05/08/2014 12:00:00 AM,701 W LONGSPUR BLVD                                                                                 ,78753
Theft: All Other Larceny,05/06/2014 12:00:00 AM,1307 BRENTWOOD ST                                                                                   ,78757
Theft: BOV,07/01/2014 12:00:00 AM,12501 TECH RIDGE BLVD                                                                               ,78753
Theft: Auto Theft,12/30/2014 12:00:00 AM,1600 E 6TH ST                                                                                       ,78702
Theft: All Other Larceny,06/12/2014 12:00:00 AM,2406 COLLINS ST                                                                                     ,78745
Burglary: Breaking & Entering,10/30/2014 12:00:00 AM,2504 HUNTWICK DR                                                                                    ,78741
Theft: Shoplifting,01/25/2014 12:00:00 AM,11200 LAKELINE BLVD                                                                                 ,78717
Burglary: Breaking & Entering,10/03/2014 12:00:00 AM,1301 CROSSING PL                                                                                    ,78741
Theft: All Other Larceny,04/21/2014 12:00:00 AM,1139 POQUITO ST                                                                                     ,78702
Theft: Auto Theft,10/15/2014 12:00:00 AM,8627 RESEARCH BLVD NB                                                                               ,78758
Theft: All Other Larceny,04/17/2014 12:00:00 AM,E OLTORF ST / S CONGRESS AVE                                                                        ,78704
Theft: BOV,03/23/2014 12:00:00 AM,2514 SPRING LN                                                                                      ,78703
Theft: Shoplifting,07/16/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,78753
Aggravated Assault,04/19/2014 12:00:00 AM,5500 BLOCK VIEWPOINT DR                                                                             ,78744
Burglary: Breaking & Entering,03/19/2014 12:00:00 AM,1407 MEADOWMEAR DR                                                                                  ,78753
Theft: BOV,12/24/2014 12:00:00 AM,10210 STEAMBOAT DR                                                                                  ,78749
Theft: Shoplifting,03/04/2014 12:00:00 AM,7100 BLOCK W US 290 HWY EB                                                                          ,78749
Burglary: Breaking & Entering,05/18/2014 12:00:00 AM,1901 MEADOWBROOK DR                                                                                 ,78703
Theft: All Other Larceny,05/22/2014 12:00:00 AM,5350 BURNET RD                                                                                      ,78756
Theft: All Other Larceny,09/10/2014 12:00:00 AM,9414 N LAMAR BLVD                                                                                   ,78758
Aggravated Assault,12/14/2014 12:00:00 AM,800 BLOCK ED BLUESTEIN BLVD NB                                                                      ,78721
Burglary: Breaking & Entering,11/24/2014 12:00:00 AM,3506 NATIVE DANCER CV                                                                               ,78746
Theft: BOV,09/17/2014 12:00:00 AM,9323 MANCHACA RD                                                                                    ,78748
Theft: All Other Larceny,10/03/2014 12:00:00 AM,500 CANYON RIDGE DR                                                                                 ,78753
Theft: Auto Theft,05/30/2014 12:00:00 AM,8200 CAMERON RD                                                                                     ,78753
Theft: Auto Theft,12/06/2014 12:00:00 AM,2201 MONTOPOLIS DR                                                                                  ,78741
Theft: Shoplifting,01/09/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 ,78741
Theft: All Other Larceny,04/16/2014 12:00:00 AM,5010 OLD MANOR RD                                                                                   ,78723
Theft: Shoplifting,10/16/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                ,78748
Theft: All Other Larceny,07/25/2014 12:00:00 AM,310 E CROSLIN ST                                                                                    ,78752
Burglary: Breaking & Entering,12/26/2014 12:00:00 AM,12151 HUNTERS CHASE DR                                                                              ,78729
Theft: BOV,05/13/2014 12:00:00 AM,5929 BALCONES DR                                                                                    ,78731
Theft: All Other Larceny,07/28/2014 12:00:00 AM,1100 E CESAR CHAVEZ ST                                                                              ,78702
Theft: BOV,02/19/2014 12:00:00 AM,9101 RESEARCH BLVD NB                                                                               ,78758
Theft: All Other Larceny,03/19/2014 12:00:00 AM,103 E 5TH ST                                                                                        ,78701
Aggravated Assault,08/26/2014 12:00:00 AM,605 MASTERSON PASS                                                                                  ,78753
Burglary: Breaking & Entering,11/09/2014 12:00:00 AM,6210 BLARWOOD DR                                                                                    ,78745
Theft: All Other Larceny,06/09/2014 12:00:00 AM,2200 S PLEASANT VALLEY RD                                                                           ,78741
Theft: BOV,03/27/2014 12:00:00 AM,8900 N IH 35 SB                                                                                     ,78753
Burglary: Breaking & Entering,08/23/2014 12:00:00 AM,1411 STRICKLAND DR                                                                                  ,78748
Theft: All Other Larceny,09/10/2014 12:00:00 AM,11600 CENTURY OAKS TER                                                                              ,78758
Theft: BOV,10/06/2014 12:00:00 AM,1200 BARTON HILLS DR                                                                                ,78704
Theft: All Other Larceny,06/03/2014 12:00:00 AM,1401 S PLEASANT VALLEY RD                                                                           ,78741
Theft: All Other Larceny,06/29/2014 12:00:00 AM,400 E 6TH ST                                                                                        ,78701
Robbery,04/07/2014 12:00:00 AM,2323 SAN ANTONIO ST                                                                                 ,78705
Aggravated Assault,09/09/2014 12:00:00 AM,7010 W SH 71                                                                                        ,78735
Theft: BOV,03/22/2014 12:00:00 AM,7307 E RIVERSIDE DR                                                                                 ,78741
Theft: Auto Theft,09/03/2014 12:00:00 AM,6911 N IH 35 SVRD NB                                                                                ,78752
Theft: All Other Larceny,06/27/2014 12:00:00 AM,3759 VALLEY VIEW RD                                                                                 ,78704
Theft: Pocket Picking,09/17/2014 12:00:00 AM,SPRINGDALE RD / E 12TH ST                                                                           ,78721
Burglary: Breaking & Entering,09/14/2014 12:00:00 AM,10716 PRATT LN                                                                                      ,78748
Theft: All Other Larceny,12/28/2014 12:00:00 AM,11310 DOMAIN DR                                                                                     ,78758
Theft: BOV,12/31/2014 12:00:00 AM,1735 RUTLAND DR                                                                                     ,78758
Burglary: Breaking & Entering,07/15/2014 12:00:00 AM,5002 COFFEE CUP CV                                                                                  ,78744
Theft: Auto Theft,03/14/2014 12:00:00 AM,3508 S 1ST ST                                                                                       ,78704
Burglary: Breaking & Entering,11/21/2014 12:00:00 AM,1122 LEONA ST                                                                                       ,78702
Theft: All Other Larceny,04/05/2014 12:00:00 AM,12463 LOS INDIOS TRL                                                                                ,78729
Aggravated Assault,07/08/2014 12:00:00 AM,4803 LOYOLA LN                                                                                      ,78723
Theft: All Other Larceny,07/09/2014 12:00:00 AM,2400 NUECES ST                                                                                      ,78705
Theft: BOV,06/13/2014 12:00:00 AM,1210 GREEN FOREST DR                                                                                ,78745
Theft: BOV,05/14/2014 12:00:00 AM,5301 TWO IRON ST                                                                                    ,78744
Theft: All Other Larceny,05/26/2014 12:00:00 AM,9300 S IH 35 SB                                                                                     ,78745
Theft: Shoplifting,01/16/2014 12:00:00 AM,710 E BEN WHITE BLVD WB                                                                             ,78704
Theft: All Other Larceny,03/24/2014 12:00:00 AM,CEDAR ELM TRL / OLEANDER TRL                                                                        ,78735
Theft: Shoplifting,08/20/2014 12:00:00 AM,12900 N IH 35 SVRD SB                                                                               ,78753
Theft: All Other Larceny,05/25/2014 12:00:00 AM,9008 GALEWOOD DR                                                                                    ,78758
Theft: Shoplifting,09/03/2014 12:00:00 AM,2400 S CONGRESS AVE                                                                                 ,78704
Theft: BOV,07/28/2014 12:00:00 AM,6635 GREENSBORO DR                                                                                  ,78723
Theft: All Other Larceny,09/24/2014 12:00:00 AM,8801 S IH 35 SVRD NB                                                                                ,78744
Robbery,05/23/2014 12:00:00 AM,100 E 6TH ST                                                                                        ,78701
Theft: Shoplifting,02/10/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft: BOV,10/28/2014 12:00:00 AM,5800 TECHNI CENTER DR                                                                               ,78721
Theft: All Other Larceny,05/08/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft: Auto Theft,09/15/2014 12:00:00 AM,3812 RUN OF THE OAKS                                                                                ,78704
Theft: BOV,06/11/2014 12:00:00 AM,1006 DURHAM DR                                                                                      ,78753
Theft: All Other Larceny,12/23/2014 12:00:00 AM,517 S LAMAR BLVD                                                                                    ,78704
Robbery,03/19/2014 12:00:00 AM,6201 SNEED CV                                                                                       ,78744
Theft: All Other Larceny,08/22/2014 12:00:00 AM,2425 E RIVERSIDE DR                                                                                 ,78741
Theft: BOV,06/27/2014 12:00:00 AM,W PARMER TO IH 35 SB RAMP / N IH 35 SB                                                              ,78753
Theft: BOV,03/25/2014 12:00:00 AM,12521 N IH 35 SVRD NB                                                                               ,78753
Robbery,11/09/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 ,78741
Burglary: Breaking & Entering,06/30/2014 12:00:00 AM,3833 YARBOROUGH AVE                                                                                 ,78744
Theft: BOV,02/10/2014 12:00:00 AM,933 E 55TH ST                                                                                       ,78751
Burglary: Breaking & Entering,04/13/2014 12:00:00 AM,8525 JAMESTOWN DR                                                                                   ,78758
Aggravated Assault,11/24/2014 12:00:00 AM,1728 CRICKET HOLLOW DR                                                                              ,78758
Theft: BOV,01/06/2014 12:00:00 AM,E 5TH ST / COMAL ST                                                                                 ,78702
Theft: All Other Larceny,10/12/2014 12:00:00 AM,314 E 6TH ST                                                                                        ,78701
Theft: All Other Larceny,05/05/2014 12:00:00 AM,1212 E 10TH ST                                                                                      ,78702
Robbery,10/13/2014 12:00:00 AM,1600 WICKERSHAM LN                                                                                  ,78741
Theft: BOV,09/24/2014 12:00:00 AM,3215 WESTERN DR                                                                                     ,78745
Theft: Shoplifting,02/16/2014 12:00:00 AM,12900 N IH 35 SB                                                                                    ,78753
Burglary: Breaking & Entering,11/30/2014 12:00:00 AM,3302 HYCREEK DR                                                                                     ,78723
Theft: BOV,12/18/2014 12:00:00 AM,10300 GOLDEN MEADOW DR                                                                              ,78758
Theft: BOV,06/30/2014 12:00:00 AM,8557 RESEARCH BLVD NB                                                                               ,78758
Burglary: Breaking & Entering,02/15/2014 12:00:00 AM,1301 CROSSING PL                                                                                    ,78741
Theft: BOV,04/13/2014 12:00:00 AM,9801 N FM 620 RD                                                                                    ,78726
Theft: All Other Larceny,02/25/2014 12:00:00 AM,601 RIO GRANDE ST                                                                                   ,78701
Theft: BOV,10/17/2014 12:00:00 AM,7300 WILD ONION DR                                                                                  ,78744
Aggravated Assault,07/30/2014 12:00:00 AM,11301 PTARMIGAN CV                                                                                  ,78758
Aggravated Assault,03/08/2014 12:00:00 AM,6301 BERKMAN DR                                                                                     ,78723
Theft: from Building,07/11/2014 12:00:00 AM,1626 NASH HERNANDEZ SR RD                                                                           ,78702
Theft: BOV,07/24/2014 12:00:00 AM,7604 N IH 35 SVRD SB                                                                                ,78752
Theft: Auto Theft,01/28/2014 12:00:00 AM,2508 ENFIELD RD                                                                                     ,78703
Theft: BOV,05/21/2014 12:00:00 AM,7800 N IH 35 SVRD SB                                                                                ,78753
Theft: Auto Theft,04/17/2014 12:00:00 AM,8224 RESEARCH BLVD SVRD SB                                                                          ,78757
Theft: All Other Larceny,01/24/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 ,78741
Burglary: Breaking & Entering,10/05/2014 12:00:00 AM,2020 E 7TH ST                                                                                       ,78702
Theft: BOV,10/06/2014 12:00:00 AM,4815 YUCCA HILL DR                                                                                  ,78744
Theft: BOV,09/10/2014 12:00:00 AM,7717 ELDERBERRY DR                                                                                  ,78745
Theft: All Other Larceny,12/24/2014 12:00:00 AM,3400 W SLAUGHTER LN                                                                                 ,78748
Theft: All Other Larceny,09/22/2014 12:00:00 AM,1116 GUNTER ST                                                                                      ,78702
Theft: Auto Theft,03/03/2014 12:00:00 AM,200 E CESAR CHAVEZ ST                                                                               ,78701
Theft: All Other Larceny,01/15/2014 12:00:00 AM,505 W 22ND ST                                                                                       ,78705
Theft: Shoplifting,10/12/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft: Auto Parts,09/29/2014 12:00:00 AM,9612 GRAND OAK DR                                                                                   ,78750
Theft: Auto Theft,05/12/2014 12:00:00 AM,9010 GALEWOOD DR                                                                                    ,78758
Theft: All Other Larceny,05/04/2014 12:00:00 AM,1138 AIRPORT BLVD                                                                                   ,78702
Theft: Auto Theft,12/08/2014 12:00:00 AM,1102 PLYMOUTH DR                                                                                    ,78758
Theft: Auto Theft,09/04/2014 12:00:00 AM,6007 PARLIAMENT DR                                                                                  ,78724
Theft: All Other Larceny,04/29/2014 12:00:00 AM,7001 S CONGRESS AVE                                                                                 ,78745
Theft: BOV,10/07/2014 12:00:00 AM,1652 W 6TH ST                                                                                       ,78703
Theft: Auto Theft,07/22/2014 12:00:00 AM,2100 E 3RD ST                                                                                       ,78702
Theft: All Other Larceny,08/20/2014 12:00:00 AM,12900 N IH 35 SVRD SB                                                                               ,78753
Theft: BOV,11/19/2014 12:00:00 AM,7317 DIXIE DR                                                                                       ,78744
Theft: All Other Larceny,10/29/2014 12:00:00 AM,1601 ROYAL CREST DR                                                                                 ,78741
Burglary: Breaking & Entering,02/28/2014 12:00:00 AM,205 CANEY ST                                                                                        ,78702
Theft: BOV,09/02/2014 12:00:00 AM,3105 S IH 35 SVRD NB                                                                                ,78741
Burglary: Breaking & Entering,12/26/2014 12:00:00 AM,1303 GEORGIAN ST                                                                                    ,78756
Theft: All Other Larceny,06/25/2014 12:00:00 AM,9601 MIDDLE FISKVILLE RD                                                                            ,78753
Theft: All Other Larceny,08/08/2014 12:00:00 AM,60 ROBERT T MARTINEZ JR ST                                                                          ,78702
Theft: BOV,11/14/2014 12:00:00 AM,2207 STRATFORD DR                                                                                   ,78746
Theft: BOV,08/02/2014 12:00:00 AM,1100 E 5TH ST                                                                                       ,78702
Theft: All Other Larceny,12/08/2014 12:00:00 AM,13000 N IH 35 NB                                                                                    ,78753
Burglary: Breaking & Entering,03/20/2014 12:00:00 AM,2600 GRACY FARMS LN                                                                                 ,78758
Theft: All Other Larceny,02/04/2014 12:00:00 AM,1601 E ST ELMO RD                                                                                   ,78744
Theft: All Other Larceny,02/02/2014 12:00:00 AM,7016 SUNDERLAND TRL                                                                                 ,78747
Burglary: Breaking & Entering,10/07/2014 12:00:00 AM,908 KEITH LN                                                                                        ,78705
Burglary: Breaking & Entering,12/01/2014 12:00:00 AM,11626 PARKFIELD DR                                                                                  ,78758
Theft: All Other Larceny,08/08/2014 12:00:00 AM,208 BARTON SPRINGS RD                                                                               ,78704
Theft: Shoplifting,07/23/2014 12:00:00 AM,2406 GUADALUPE ST                                                                                   ,78705
Theft: Auto Theft,05/19/2014 12:00:00 AM,9010 GALEWOOD DR                                                                                    ,78758
Theft: Shoplifting,02/08/2014 12:00:00 AM,525 N LAMAR BLVD                                                                                    ,78703
Theft: All Other Larceny,02/21/2014 12:00:00 AM,2701 E 7TH ST                                                                                       ,78702
Theft: All Other Larceny,02/28/2014 12:00:00 AM,1434 W WELLS BRANCH PKWY                                                                            ,78660
Theft: All Other Larceny,02/21/2014 12:00:00 AM,12445 ALAMEDA TRACE CIR                                                                             ,78727
Theft: All Other Larceny,09/19/2014 12:00:00 AM,11410 CENTURY OAKS TER                                                                              ,78758
Theft: All Other Larceny,03/25/2014 12:00:00 AM,9101 WALL ST                                                                                        ,78754
Theft: All Other Larceny,01/19/2014 12:00:00 AM,1205 E 52ND ST                                                                                      ,78723
Robbery,04/09/2014 12:00:00 AM,E OLTORF ST / S PLEASANT VALLEY RD                                                                  ,78741
Theft: BOV,11/29/2014 12:00:00 AM,2400 NUECES ST                                                                                      ,78705
Theft: All Other Larceny,08/10/2014 12:00:00 AM,2222 E OLTORF ST                                                                                    ,78741
Theft: All Other Larceny,07/26/2014 12:00:00 AM,4305 DUVAL ST                                                                                       ,78751
Burglary: Breaking & Entering,12/18/2014 12:00:00 AM,1100 REINLI ST                                                                                      ,78723
Burglary: Breaking & Entering,04/20/2014 12:00:00 AM,616 E 6TH ST                                                                                        ,78701
Theft: BOV,02/09/2014 12:00:00 AM,911 W 21ST ST                                                                                       ,78705
Burglary: Breaking & Entering,04/25/2014 12:00:00 AM,5707 PINO LN                                                                                        ,78744
Theft: BOV,03/07/2014 12:00:00 AM,8800 N IH 35 SVRD SB                                                                                ,78753
Burglary: Breaking & Entering,04/17/2014 12:00:00 AM,7800 GINGERS CV                                                                                     ,78759
Theft: Shoplifting,08/17/2014 12:00:00 AM,710 E BEN WHITE BLVD SVRD WB                                                                        ,78704
Theft: All Other Larceny,08/19/2014 12:00:00 AM,2216 TOULOUSE DR                                                                                    ,78748
Theft: BOV,04/27/2014 12:00:00 AM,1500 E 3RD ST                                                                                       ,78702
Theft: All Other Larceny,11/13/2014 12:00:00 AM,408 W 5TH ST                                                                                        ,78701
Theft: BOV,12/22/2014 12:00:00 AM,10407 JOLLYVILLE RD                                                                                 ,78759
Theft: All Other Larceny,11/11/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,78746
Theft: BOV,03/21/2014 12:00:00 AM,11400 DOMAIN DR                                                                                     ,78758
Theft: Shoplifting,03/26/2014 12:00:00 AM,2701 E 7TH ST                                                                                       ,78702
Theft: BOV,12/26/2014 12:00:00 AM,6903 HYLAND CIR                                                                                     ,78744
Theft: All Other Larceny,06/04/2014 12:00:00 AM,5601 PINON VISTA DR                                                                                 ,78724
Theft: Shoplifting,10/12/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,78746
Robbery,02/14/2014 12:00:00 AM,6515 AIRPORT BLVD                                                                                   ,78752
Theft: Shoplifting,10/09/2014 12:00:00 AM,12900 N IH 35 SVRD SB                                                                               ,78753
Theft: BOV,10/23/2014 12:00:00 AM,11160 JOLLYVILLE RD                                                                                 ,78759
Theft: All Other Larceny,10/09/2014 12:00:00 AM,13785 N US 183 HWY NB                                                                               ,78729
Theft: All Other Larceny,04/17/2014 12:00:00 AM,13435 N US 183 HWY SVRD NB                                                                          ,78729
Theft: All Other Larceny,10/18/2014 12:00:00 AM,2100 BARTON SPRINGS RD                                                                              ,78746
Aggravated Assault,04/26/2014 12:00:00 AM,6700 BLOCK S PLEASANT VALLEY RD                                                                     ,78744
Theft: Shoplifting,09/24/2014 12:00:00 AM,12250 RESEARCH BLVD NB                                                                              ,78727
Aggravated Assault,09/22/2014 12:00:00 AM,1137 GUNTER ST                                                                                      ,78721
Theft: Auto Theft,05/19/2014 12:00:00 AM,1511 FARO DR                                                                                        ,78741
Theft: BOV,11/27/2014 12:00:00 AM,700 DELMAR AVE                                                                                      ,78752
Theft: BOV,07/19/2014 12:00:00 AM,9012 RESEARCH BLVD SVRD SB                                                                          ,78757
Theft: All Other Larceny,11/15/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,78746
Theft: BOV,11/11/2014 12:00:00 AM,2015 E RIVERSIDE DR                                                                                 ,78741
Theft: All Other Larceny,11/10/2014 12:00:00 AM,4100 N LAMAR BLVD                                                                                   ,78751
Theft: All Other Larceny,08/25/2014 12:00:00 AM,406 BRAMBLE DR                                                                                      ,78745
Theft: BOV,10/13/2014 12:00:00 AM,1704 E 5TH ST                                                                                       ,78702
Burglary: Breaking & Entering,03/16/2014 12:00:00 AM,11701 METRIC BLVD                                                                                   ,78758
Theft: All Other Larceny,09/16/2014 12:00:00 AM,E 12TH ST / RED RIVER ST                                                                            ,78701
Theft: All Other Larceny,04/07/2014 12:00:00 AM,6900 BRODIE LN                                                                                      ,78749
Theft: All Other Larceny,08/14/2014 12:00:00 AM,6104 WHELESS CV                                                                                     ,78723
Theft: BOV,05/30/2014 12:00:00 AM,5300 S MOPAC EXPY SVRD NB                                                                           ,78749
Robbery,04/13/2014 12:00:00 AM,9703 ABERDEEN WAY                                                                                   ,78753
Burglary: Breaking & Entering,01/18/2014 12:00:00 AM,6213 PENNWOOD LN                                                                                    ,78745
Burglary: Breaking & Entering,06/02/2014 12:00:00 AM,8104 WILLET TRL                                                                                     ,78745
Theft: All Other Larceny,07/30/2014 12:00:00 AM,6911 N IH 35 SVRD NB                                                                                ,78752
Aggravated Assault,06/18/2014 12:00:00 AM,3210 PLANTATION RD                                                                                  ,78745
Theft: BOV,06/26/2014 12:00:00 AM,1806 CRESTED BUTTE DR                                                                               ,78746
Theft: All Other Larceny,02/18/2014 12:00:00 AM,8013 BRIARTON DR                                                                                    ,78747
Theft: Shoplifting,08/05/2014 12:00:00 AM,9600 S IH 35 SB                                                                                     ,78748
Theft: All Other Larceny,05/12/2014 12:00:00 AM,10712 NEWMONT RD                                                                                    ,78758
Theft: All Other Larceny,09/23/2014 12:00:00 AM,W 27TH ST / NUECES ST                                                                               ,78705
Theft: All Other Larceny,12/23/2014 12:00:00 AM,4537 S IH 35 SVRD NB                                                                                ,78744
Theft: BOV,11/13/2014 12:00:00 AM,6524 TAYLORCREST DR                                                                                 ,78749
Robbery,06/06/2014 12:00:00 AM,8610 N LAMAR BLVD                                                                                   ,78758
Theft: All Other Larceny,08/13/2014 12:00:00 AM,3700 N CAPITAL OF TEXAS HWY NB                                                                      ,78746
Theft: BOV,04/22/2014 12:00:00 AM,11113 RESEARCH BLVD NB                                                                              ,78759
Aggravated Assault,02/14/2014 12:00:00 AM,12151 N IH 35 SVRD NB                                                                               ,78753
Theft: All Other Larceny,03/10/2014 12:00:00 AM,5907 LEISURE RUN RD                                                                                 ,78745
Theft: BOV,05/29/2014 12:00:00 AM,3940 S LAMAR BLVD SB                                                                                ,78704
Theft: BOV,06/07/2014 12:00:00 AM,5660 N IH 35 SVRD SB                                                                                ,78751
Theft: Auto Theft,09/15/2014 12:00:00 AM,2100 WICKERSHAM LN                                                                                  ,78741
Theft: BOV,10/05/2014 12:00:00 AM,2407 CANTERBURY ST                                                                                  ,78702
Robbery,11/30/2014 12:00:00 AM,9601 MIDDLE FISKVILLE RD                                                                            ,78753
Theft: Shoplifting,04/19/2014 12:00:00 AM,14028 N US 183 HWY SVRD SB                                                                          ,78613
Burglary: Breaking & Entering,02/08/2014 12:00:00 AM,1025 W STASSNEY LN                                                                                  ,78745
Theft: All Other Larceny,04/22/2014 12:00:00 AM,802 S 1ST ST                                                                                        ,78704
Burglary: Breaking & Entering,11/21/2014 12:00:00 AM,1701 HACKNEY CV                                                                                     ,78727
Theft: All Other Larceny,09/20/2014 12:00:00 AM,219 E 6TH ST                                                                                        ,78701
Aggravated Assault,08/30/2014 12:00:00 AM,8005 GEORGIAN DR                                                                                    ,78753
Theft: BOV,05/16/2014 12:00:00 AM,5901 N IH 35 NB                                                                                     ,78723
Aggravated Assault,06/12/2014 12:00:00 AM,501 E STASSNEY LN                                                                                   ,78745
Aggravated Assault,05/31/2014 12:00:00 AM,8900 COLLINFIELD DR                                                                                 ,78758
Theft: All Other Larceny,03/11/2014 12:00:00 AM,12860 N US 183 HWY SVRD SB                                                                          ,78750
Theft: All Other Larceny,11/19/2014 12:00:00 AM,4506 S IH 35 SVRD SB                                                                                ,78745
Theft: BOV,01/06/2014 12:00:00 AM,6506 COLTON BLUFF SPRINGS RD                                                                        ,78744
Theft: Auto Theft,08/09/2014 12:00:00 AM,W 8TH ST / GUADALUPE ST                                                                             ,78701
Theft: Shoplifting,07/15/2014 12:00:00 AM,525 N LAMAR BLVD                                                                                    ,78703
Theft: BOV,12/29/2014 12:00:00 AM,1704 NELMS DR                                                                                       ,78744
Theft: All Other Larceny,02/18/2014 12:00:00 AM,5401 N IH 35 SVRD NB                                                                                ,78723
Burglary: Breaking & Entering,09/14/2014 12:00:00 AM,1200 BROADMOOR DR                                                                                   ,78723
Theft: BOV,08/14/2014 12:00:00 AM,2301 STRATFORD DR                                                                                   ,78746
Burglary: Breaking & Entering,05/06/2014 12:00:00 AM,7112 S CONGRESS AVE                                                                                 ,78745
Burglary: Breaking & Entering,01/04/2014 12:00:00 AM,2102 WILLOW ST                                                                                      ,78702
Theft: BOV,01/11/2014 12:00:00 AM,8700 BRODIE LN                                                                                      ,78749
Theft: Auto Theft,08/22/2014 12:00:00 AM,6808 S IH 35 SVRD SB                                                                                ,78745
Theft: BOV,07/28/2014 12:00:00 AM,1800 PATTON LN                                                                                      ,78723
